t_s,low_state_age_s,policy_state_age_s,low_state_seq,tick_dt_s,tilt_deg,roll,pitch,gx,gy,gz,walking,gait_freq,gait_process,pub_hz,goal_x,goal_y,heading_err,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq7,dq8,dq9,dq10,dq11,tau0,tau1,tau2,tau3,tau4,tau5,tau6,tau7,tau8,tau9,tau10,tau11,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11
17.638,0.0010677,0.0093711,7010,0.030232,2.1336,0.0076906,0.036435,-0.026356,-0.21864,-0.023716,0,0,0,99.355,0,0,0,-0.18902,0.021553,0.010872,0.41524,-0.21608,-0.015951,-0.15812,0.059701,0.0066758,0.3912,-0.18689,-0.026056,-0.12146,0.0018846,0.0095616,0.33584,0.32352,-0.55,-0.029122,-0.067751,0.012658,-0.01377,-0.10173,0.2035,1.0473,4.1941,0.011502,0.61077,7.6802,2.1861,0.48872,-1.2067,1.3457,-1.367,0.99964,0.62435,0.0069584,0.057764,0.00052704,-0.019781,0.13301,0.031902,0.056422,0.041975,0.017234,-0.053013,0.063187,-0.013319
17.649,0.0046394,0.0085887,7017,0.011249,2.0239,0.0076175,0.034493,-0.015226,-0.17855,0.014671,0,0,0,99.364,0,0,0,-0.19169,0.021553,0.011254,0.42058,-0.2152,-0.015079,-0.15812,0.059701,0.0066758,0.38891,-0.18685,-0.025174,-0.1749,-0.019133,0.028477,0.34753,0.079088,0.055977,0.023365,-0.0064013,0.0041701,-0.16188,-0.0066329,0.08406,0.34908,3.9011,0.057509,-0.66894,6.1975,2.7662,1.1869,-1.5127,1.9945,-2.2395,0.8825,0.68854,0.0043566,0.057578,0.00040881,-0.012492,0.13262,0.033907,0.059523,0.038385,0.019326,-0.058539,0.063971,-0.0091797
17.671,0.0012162,0.0051678,7028,0.021893,1.8501,0.0075273,0.031401,-0.00088227,-0.13483,-0.0046351,0,0,0,99.353,0,0,0,-0.19474,0.02079,0.011254,0.42058,-0.22052,-0.0048384,-0.15354,0.059701,0.0066758,0.38319,-0.18695,-0.022105,-0.087309,-0.0064748,-0.047093,-0.10071,-0.30038,0.56691,0.2667,0.021498,0.00087512,-0.23389,-0.014062,0.18546,-1.1869,3.315,0.011502,-1.7741,6.0558,2.8205,0.069817,-2.1585,2.333,-2.8212,0.84544,0.45958,0.0093496,0.046266,0.0044641,-0.0085017,0.11412,0.042689,0.063016,0.036483,0.021345,-0.059671,0.081348,-0.0071335
17.69,0.00098878,0.0046086,7038,0.018902,1.6916,0.0062967,0.028845,-0.050862,-0.14087,-0.12764,0,0,0,99.364,0,0,0,-0.19207,0.02079,0.010109,0.4118,-0.22674,0.0055292,-0.14591,0.060082,0.0066758,0.379,-0.18824,-0.014718,0.14972,0.0017097,-0.015412,-0.4825,-0.26616,0.46586,0.41603,0.031267,-0.00023035,-0.20388,-0.10786,0.40086,-1.0473,4.0476,-0.51758,-1.2506,5.2256,1.8057,-0.20945,-2.5458,1.3457,-2.3558,0.50437,0.28316,0.017565,0.045044,0.0053053,-0.011913,0.113,0.044066,0.065749,0.039466,0.020115,-0.057184,0.09479,-0.0094591
17.71,0.0052334,0.0084546,7048,0.019766,1.6162,0.0042841,0.02788,-0.10614,-0.068735,-0.042421,0,0,0,99.341,0,0,0,-0.18826,0.022698,0.0097276,0.40112,-0.22482,0.00039784,-0.14439,0.06199,0.0066758,0.37518,-0.19135,-0.0114,0.14676,0.11887,-0.026287,-0.47633,0.12707,-0.3445,-0.010319,0.043345,-0.0024973,-0.18813,-0.10363,0.097404,-0.76799,3.315,-0.47158,-0.49443,5.4917,1.3702,0.48872,-2.1585,1.7044,-2.2977,-0.15479,0.076996,0.014999,0.055804,0.0026747,-0.026566,0.11482,0.038119,0.070667,0.038474,0.022598,-0.072666,0.065021,-0.011539
17.73,0.0052464,0.0089506,7057,0.01991,1.7105,0.0021652,0.029774,-0.11386,0.078965,0.069769,0,0,0,99.373,0,0,0,-0.18788,0.023842,0.0089647,0.39464,-0.22446,-0.0019043,-0.14553,0.062371,0.0062943,0.37175,-0.18939,-0.014357,-0.028992,0.031023,-0.027718,-0.31963,-0.027664,-0.014567,-0.030742,0.018858,-0.0044168,-0.22484,0.13976,-0.16329,0.62835,2.619,-0.56359,-0.49443,4.911,2.2569,1.1869,-1.7166,1.7527,-2.5303,0.49875,0.094696,0.019635,0.058461,0.0017297,-0.017865,0.14421,0.031847,0.074089,0.047733,0.019555,-0.062759,0.076941,-0.013648
17.751,0.0013786,0.004832,7068,0.02124,1.839,0.00081552,0.032086,-0.065314,0.11397,0.0808,0,0,0,99.378,0,0,0,-0.18978,0.023842,0.0097276,0.3912,-0.22629,0.0013909,-0.1463,0.063516,0.0062943,0.36526,-0.1859,-0.014553,-0.077233,0.0018632,0.024919,-0.13066,-0.055656,0.12025,-0.025603,0.052573,0.0011421,-0.25529,0.12362,0.09479,1.7454,1.8866,-0.35656,-0.31993,4.0653,2.2589,1.3265,-2.1925,1.8736,-1.8905,1.3469,0.023795,0.015507,0.056936,0.0051371,-0.0042203,0.15636,0.036468,0.073536,0.044444,0.019914,-0.065236,0.092015,-0.0091525
17.772,0.0011613,0.0068504,7078,0.020549,1.8064,-0.00077361,0.031519,-0.066696,0.0071731,0.037471,0,0,0,99.388,0,0,0,-0.19017,0.024987,0.010109,0.39082,-0.22629,0.0013909,-0.14553,0.063897,0.0062943,0.36069,-0.18325,-0.0082226,-0.007581,0.069116,0.014649,-0.041418,0.0065469,-0.0093057,0.05301,0.01201,0.0040033,-0.21724,0.14158,0.34507,0.20945,2.619,-0.56359,-1.3088,4.6527,1.7646,1.8851,-2.1245,2.1396,-1.5996,-0.22366,-0.30694,0.012114,0.05337,0.0057508,-0.0079569,0.14939,0.039487,0.072414,0.043,0.019079,-0.072252,0.091009,-0.0070138
17.79,0.0010252,0.0051817,7090,0.018788,1.6534,-0.0024941,0.02875,-0.072683,-0.11551,0.036019,0,0,0,99.384,0,0,0,-0.1894,0.027657,0.0097276,0.38815,-0.22441,-0.0028195,-0.14248,0.066186,0.0062943,0.35725,-0.17973,-0.0036156,0.049491,0.073312,0.0035266,-0.086095,0.11897,-0.21065,0.15756,0.11758,0.0062203,-0.12729,0.11395,0.03838,0.48872,2.5824,-0.51758,-1.1343,5.6699,1.6579,2.7229,-1.9546,1.8978,-1.5996,0.33674,-0.29807,0.0086645,0.055274,0.0047087,-0.017437,0.1303,0.041651,0.072413,0.039637,0.022177,-0.084946,0.084853,-0.0052525
17.811,0.0044829,0.010346,7102,0.021118,1.5256,-0.0052238,0.026109,-0.10677,-0.10792,0.027663,0,0,0,99.379,0,0,0,-0.18902,0.02842,0.0097276,0.39044,-0.22336,-0.004698,-0.13981,0.06733,0.0062943,0.35344,-0.17767,-0.0087342,-0.042516,0.027942,0.020771,0.1395,0.0025946,0.0018181,0.097013,0.010718,0.0071211,-0.15466,0.11592,-0.1775,0.20945,2.6557,-0.21853,0.14542,6.3687,2.1745,0.48872,-1.7166,1.5297,-1.4251,0.13674,0.20299,0.009297,0.059547,-0.00040481,-0.025482,0.13851,0.032161,0.075531,0.051639,0.017892,-0.086098,0.075429,-0.010816
17.838,0.0010862,0.0089811,7115,0.026995,1.4668,-0.0064555,0.024773,-0.05975,-0.059672,0.031778,0,0,0,99.377,0,0,0,-0.19169,0.029183,0.010109,0.39502,-0.22362,-0.0042287,-0.1379,0.067712,0.0062943,0.34848,-0.17153,-0.016149,-0.084815,0.033595,0.017307,0.11633,-0.024776,0.044958,0.079403,0.012855,0.0086118,-0.17891,0.24125,-0.23576,-0.48872,2.0226,-0.47158,-0.5526,5.5756,2.1701,1.0473,-3.022,1.7769,-2.0068,0.7839,0.072469,0.0072273,0.057734,0.0018704,-0.01863,0.13767,0.03424,0.078733,0.050485,0.019802,-0.091798,0.082297,-0.0099511
17.85,0.0011269,0.009602,7120,0.011356,1.4351,-0.0068615,0.024089,-0.044291,-0.066981,0.0025896,0,0,0,99.399,0,0,0,-0.19207,0.029183,0.010109,0.39502,-0.22414,-0.0032894,-0.13714,0.067712,0.0062943,0.34619,-0.17076,-0.014792,-0.055576,0.0058317,0.0025351,0.016287,-0.039984,0.082832,0.060563,0.0035216,0.010745,-0.21126,0.090185,0.077025,-0.069817,1.8526,-0.31055,-0.90161,5.3808,2.2814,1.4662,-2.9121,1.7527,-2.1232,0.29667,0.055807,0.0068089,0.056104,0.0011751,-0.022946,0.12753,0.035215,0.080493,0.047715,0.020292,-0.098191,0.078437,-0.0097018
17.877,0.005479,0.016416,7129,0.027585,1.3875,-0.0077089,0.022956,-0.041475,-0.060358,-0.061998,0,0,0,99.385,0,0,0,-0.19169,0.029564,0.0097276,0.39311,-0.22414,-0.0032894,-0.13447,0.068856,0.0062943,0.34199,-0.17356,-0.010207,0.027441,0.021415,-0.018649,-0.13957,0.014572,-0.018475,0.17025,0.079795,0.004866,-0.22051,-0.15206,0.21983,-0.20945,2.8755,-0.6326,-0.84344,5.8272,1.8262,0.90762,-1.3087,1.2767,-1.7741,-0.70574,-0.11403,0.009349,0.054052,0.0017927,-0.019956,0.12711,0.037897,0.083383,0.044291,0.020198,-0.097715,0.089762,-0.0083962
17.89,0.0010305,0.0037184,7137,0.012351,1.3507,-0.0086233,0.02194,-0.061,-0.068808,-0.046401,0,0,0,99.387,0,0,0,-0.19055,0.030327,0.0089647,0.38968,-0.22414,-0.0032894,-0.1318,0.070382,0.0062943,0.33856,-0.17373,-0.0137,0.079808,0.021628,-0.033744,-0.20151,-0.0031246,0.0047344,0.1698,0.055677,0.0026642,-0.21442,0.0061442,-0.25691,-1.3265,2.9121,-1.0007,-1.0179,5.9945,1.8802,0.90762,-1.7506,1.4147,-1.716,0.23903,0.33979,0.010147,0.055869,0.0012906,-0.024702,0.12724,0.036108,0.084235,0.049347,0.02033,-0.10082,0.086794,-0.012129
17.915,0.0045095,0.015005,7146,0.025677,1.2807,-0.010134,0.019923,-0.064677,-0.083743,0.048565,0,0,0,99.395,0,0,0,-0.19017,0.030327,0.0089647,0.38815,-0.22414,-0.0032894,-0.12837,0.070382,0.0062943,0.33169,-0.1725,-0.017089,-0.0071162,0.00043202,0.023484,-0.076211,-0.0054072,0.010909,0.1902,0.0094864,0.0020143,-0.38797,0.044923,-0.088165,-0.34908,2.619,-0.83963,-0.95978,5.2337,1.8444,0.62835,-2.5824,2.1154,-1.9486,0.10794,0.065245,0.0083387,0.058216,-0.0019831,-0.033962,0.11784,0.031532,0.088179,0.051981,0.020471,-0.11464,0.073704,-0.01205
17.928,0.0047119,0.0071497,7157,0.012171,1.2725,-0.010735,0.019442,-0.045576,-0.04556,0.06487,0,0,0,99.403,0,0,0,-0.19055,0.030709,0.0089647,0.38815,-0.22414,-0.0032894,-0.1257,0.071145,0.0062943,0.32483,-0.172,-0.016184,-0.020957,0.025099,0.0041248,-0.0066491,-0.0007734,0.0081225,0.083675,0.016305,0.0010629,-0.29602,0.032002,0.045443,-0.48872,2.1585,-0.33355,-0.72711,4.9585,1.803,0.48872,-2.0905,1.7769,-1.4833,0.97731,0.25433,0.007404,0.057792,-0.0019617,-0.030581,0.12622,0.031284,0.092861,0.049654,0.01948,-0.11755,0.079428,-0.010848
17.951,0.00095633,0.0049444,7170,0.02301,1.2616,-0.011863,0.01855,-0.03982,-0.035122,0.0067633,0,0,0,99.396,0,0,0,-0.19093,0.030709,0.0089647,0.38777,-0.22414,-0.0032894,-0.12608,0.071527,0.0062943,0.32254,-0.16996,-0.017336,-0.01011,-0.0038034,-0.0032423,-0.017292,-0.00075297,0.012094,0.0054949,0.014754,0.0034547,-0.034575,0.092114,-0.085873,0.20945,2.5824,-0.79363,-1.2506,5.1222,1.8757,1.6058,-1.6826,1.5297,-2.065,0.076666,0.49065,0.0072909,0.056871,-0.00053909,-0.026926,0.13416,0.031267,0.090442,0.05229,0.019276,-0.11251,0.088729,-0.01227
17.988,0.0010995,0.027357,7175,0.037104,1.2211,-0.012282,0.017417,-0.037449,-0.054556,0.0041767,0,0,0,99.197,0,0,0,-0.19093,0.030709,0.0089647,0.38777,-0.22414,-0.0032894,-0.12608,0.071527,0.0062943,0.32216,-0.16851,-0.021122,-0.00097962,-0.0088028,0.0076863,-0.015993,-0.003125,0.0094157,0.003033,-0.0039933,0.0020863,-0.032803,0.14094,-0.26177,-0.34908,2.2605,-0.58659,-1.0761,5.0551,1.9503,1.8851,-2.1925,1.5297,-1.8323,-0.2411,0.68838,0.0062049,0.057251,-0.00032997,-0.029282,0.13006,0.031211,0.089495,0.053615,0.019868,-0.11538,0.085329,-0.013422
17.995,0.00096228,0.0073577,7181,0.007642,1.1939,-0.012477,0.016689,-0.028335,-0.081062,0.011505,0,0,0,99.197,0,0,0,-0.19093,0.030709,0.0089647,0.38739,-0.22436,-0.0037354,-0.12531,0.071527,0.0062943,0.32139,-0.16659,-0.02486,-0.00063461,-0.0050543,-0.0017225,-0.018542,-0.0036666,0.0068364,0.051269,-0.003538,-0.0021591,-0.068369,0.15339,-0.27329,-0.76799,2.7289,-0.95465,-1.4833,4.7703,1.6993,2.4436,-1.6147,2.0912,-2.6467,-0.12714,0.41085,0.005454,0.05625,-0.00066591,-0.032376,0.12261,0.03195,0.089902,0.052819,0.020218,-0.11947,0.083185,-0.014015
18.01,0.0012822,0.0086731,7186,0.014204,1.158,-0.01266,0.015756,-0.02335,-0.089466,0.0095035,0,0,0,99.154,0,0,0,-0.19093,0.030709,0.0085832,0.38663,-0.22436,-0.0037354,-0.12417,0.071527,0.0062943,0.31987,-0.16569,-0.025652,0.018075,-0.0030401,-0.023775,-0.065043,0.0061848,0.0063654,0.11395,-0.0018327,0.00019038,-0.14771,0.094007,-0.15483,0.34908,2.7289,-0.79363,-1.2506,5.0454,1.7407,0.90762,-2.1245,1.8011,-2.5303,-0.088053,0.38916,0.0060065,0.055188,-0.0015151,-0.034619,0.11746,0.032316,0.09149,0.051857,0.020021,-0.12257,0.082974,-0.014173
