t_s,low_state_age_s,policy_state_age_s,low_state_seq,tick_dt_s,tilt_deg,roll,pitch,gx,gy,gz,walking,gait_freq,gait_process,pub_hz,goal_x,goal_y,heading_err,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq7,dq8,dq9,dq10,dq11,tau0,tau1,tau2,tau3,tau4,tau5,tau6,tau7,tau8,tau9,tau10,tau11,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11
17.23,0.0010271,0.0092106,6806,0.021092,2.3076,0.0043134,0.040044,0.11539,-0.036803,-0.27233,0,0,0,99.285,0,0,0,-0.19551,-0.0097276,0.011254,0.46788,-0.2372,0.012127,-0.17758,0.03109,-0.0040055,0.45109,-0.2006,-0.00041565,-0.11212,0.018801,0.01102,0.071625,0.036258,0.021084,0.0043771,0.217,0.075789,0.069207,-0.16934,0.074078,0.62835,4.8535,-0.51758,-0.43626,8.9813,1.3045,-0.76799,-0.050989,0.51758,-1.7741,1.8937,0.44197,0.0044743,0.020165,0.0066325,0.043436,0.13441,0.059064,0.041471,0.017198,0.010388,0.029916,0.13493,0.01909
17.248,0.0045944,0.0077499,6816,0.018147,2.3822,0.0057733,0.041175,0.10532,0.050565,-0.25967,0,0,0,99.301,0,0,0,-0.19665,-0.0078202,0.011254,0.46483,-0.23772,0.013081,-0.17453,0.035668,-0.0024796,0.44537,-0.20563,0.0019926,-0.012576,0.11016,-0.0083652,-0.20313,-0.066294,0.075562,0.17959,0.14729,0.10811,-0.35081,-0.30581,0.088952,-2.0247,4.011,-0.31055,-1.7741,7.6793,1.3963,0.90762,0.22095,0.40256,-1.8323,2.4676,0.37258,0.01028,0.017668,0.0092266,0.043924,0.13132,0.058707,0.047448,0.020021,0.011287,0.031871,0.14333,0.015261
17.272,0.001117,0.0055579,6828,0.023102,2.7628,0.0081395,0.047529,0.080421,0.21178,-0.16578,0,0,0,99.291,0,0,0,-0.19474,-0.0070573,0.010872,0.45491,-0.23823,0.014036,-0.16728,0.03109,0.00095369,0.42897,-0.21579,0.0009962,0.060254,0.0099899,-0.0020492,-0.40812,-0.013827,0.039398,0.35024,-0.20303,0.15721,-0.64652,-0.31227,-0.19413,-0.76799,3.0586,-0.56359,-0.49443,8.2134,2.4711,0.20945,-1.3767,0.67861,0.087253,3.7168,1.2487,0.026015,0.024594,0.012052,0.041956,0.17209,0.043431,0.052506,0.040744,0.0047501,0.048583,0.14678,-0.0054333
17.291,0.0049574,0.010489,6838,0.019764,3.1145,0.01049,0.053338,0.12934,0.28209,-0.11666,0,0,0,99.307,0,0,0,-0.19512,-0.0059129,0.010872,0.44652,-0.23849,0.014513,-0.16308,0.034905,0.0062943,0.42134,-0.21215,-0.005575,-0.010495,0.095879,-0.0024029,-0.37429,0.007225,0.059985,0.039232,0.19055,0.24919,-0.30638,0.23777,-0.24207,0.62835,2.0226,-0.19553,0.43626,6.152,2.1499,1.1869,-1.4107,0.42557,0.49443,4.0998,1.1548,0.014726,0.020079,0.018702,0.06433,0.15378,0.055877,0.057572,0.019758,0.023478,0.038184,0.17897,0.017512
17.317,0.0052536,0.015093,6849,0.025226,3.3169,0.011657,0.056706,0.066084,0.19178,-0.053127,0,0,0,99.315,0,0,0,-0.19322,-0.0051499,0.010872,0.44118,-0.2365,0.017605,-0.16728,0.035668,0.0070573,0.42134,-0.20774,-0.0066573,0.089741,0.0095893,0.015492,-0.20491,0.1024,0.13325,-0.10779,0.031054,-0.032656,0.056776,0.10779,-0.075132,0.069817,2.619,0.011502,0.14542,6.0859,2.0489,1.8851,-1.5127,0.79363,0.72711,4.611,1.2483,0.014175,0.027421,0.018056,0.053855,0.17389,0.047655,0.049462,0.029078,0.013816,0.0454,0.17439,-0.00095529
17.336,0.0010079,0.0093874,6859,0.019555,3.4112,0.013148,0.058069,0.075892,0.10163,0.044794,0,0,0,99.302,0,0,0,-0.19055,-0.003624,0.010872,0.43965,-0.2335,0.01373,-0.16651,0.03872,0.0055314,0.42668,-0.20703,-0.016029,0.16794,0.065494,0.019512,-0.052694,0.17926,-0.28042,0.049559,0.16553,-0.059207,0.30244,0.072437,-0.51599,1.0473,2.0566,0.10352,-0.26176,7.3672,1.7115,2.7229,-0.56088,0.011502,1.0761,4.5161,0.56377,0.014404,0.028454,0.019574,0.069854,0.18053,0.046935,0.045346,0.025046,0.016461,0.056942,0.20209,0.0031855
17.35,0.001338,0.0038127,6869,0.013552,3.343,0.013714,0.056713,0.033652,-0.048124,0.098639,0,0,0,99.302,0,0,0,-0.1894,-0.0013352,0.011635,0.44156,-0.23169,0.010404,-0.16537,0.039483,0.0070573,0.43278,-0.20395,-0.015369,0.0035177,0.11082,0.040777,0.1241,0.0558,-0.037779,0.012267,0.013909,0.13261,0.30901,0.10523,0.28736,-0.48872,1.6826,0.74762,1.0761,7.2587,2.0004,2.304,-1.3767,1.4837,-0.087253,5.8189,1.593,0.013041,0.030899,0.017619,0.047017,0.15923,0.04418,0.040478,0.030979,0.016612,0.032715,0.15527,-0.0023638
17.368,0.0046256,0.0076262,6878,0.018717,3.1536,0.014442,0.053113,0.030201,-0.18201,0.17,0,0,0,99.321,0,0,0,-0.19055,-0.00019074,0.013161,0.44842,-0.23083,0.012183,-0.16499,0.040246,0.0093462,0.43774,-0.20262,-0.012152,-0.074582,0.054572,0.063431,0.37641,0.06837,0.084092,0.044729,0.03821,0.11071,0.26612,0.066384,0.053996,-0.48872,1.7506,0.31055,-0.20359,7.8213,1.9488,1.8851,-1.4107,1.0237,0.31993,6.131,1.1356,0.0095982,0.038235,0.011979,0.035344,0.15381,0.043168,0.041877,0.030572,0.017277,0.016139,0.12208,0.00056579
17.39,0.0046909,0.0084308,6888,0.021498,2.8105,0.015426,0.046565,0.039055,-0.28329,0.18307,0,0,0,99.305,0,0,0,-0.19169,0.0028611,0.014305,0.45567,-0.22791,0.010169,-0.16461,0.042535,0.0082017,0.44194,-0.20194,-0.017459,-0.061524,0.17804,0.056898,0.31656,0.11479,-0.14277,0.033913,0.13785,-0.078851,0.21323,0.033394,-0.18051,1.0473,2.7289,0.88564,-0.087253,8.1452,1.6511,1.3265,-1.4447,1.0237,1.1925,6.4123,1.297,0.003773,0.036712,0.01006,0.025554,0.12392,0.049385,0.043878,0.019607,0.021884,-0.0042179,0.096868,0.01001
17.409,0.00096711,0.0034452,6899,0.018737,2.3864,0.01464,0.038994,-0.040168,-0.38495,0.084635,0,0,0,99.334,0,0,0,-0.19207,0.0059129,0.014305,0.45834,-0.22786,0.0092521,-0.16499,0.045586,0.0074388,0.44347,-0.20245,-0.018388,0.0049497,0.064878,-0.0036233,0.077837,-0.0048442,-0.013931,-0.032466,0.14417,0.015868,-0.0020335,-0.057993,-0.068314,0.069817,2.7289,0.74762,-0.49443,7.1225,1.8578,0.48872,-1.8526,1.0697,-0.43626,5.1106,0.80188,0.0039645,0.048435,0.0014732,-0.0079355,0.097512,0.044778,0.042234,0.021699,0.024525,-0.035087,0.028434,-0.00053164
