pos_err_m,heading_err_deg,final_speed_mps,category,start_dist_m,duration_s,min_dist_m,along_err_m,cross_err_m,peak_speed_mps,mean_speed_mps,cmd_speed_mps
0.2586,5.6205,1.0308,path,2.4226,4.9000,0.0114,-0.2563,0.0345,1.1300,0.5723,0.5726
0.5403,8.1112,0.0783,lateral,1.3697,4.9200,0.5403,-0.3742,0.3897,0.5927,0.2277,0.0000
0.2814,13.8894,0.0706,combined,0.9057,4.9200,0.2804,-0.2296,0.1627,0.4015,0.1680,0.0000
0.2437,0.6568,0.0444,combined,0.4842,4.9600,0.2437,-0.0906,0.2263,0.4106,0.1430,0.0000
0.5014,4.6835,0.2167,path,1.7641,4.9600,0.0083,-0.4362,0.2472,1.0707,0.2961,0.4172
0.3186,0.1770,0.1281,straight,0.6827,4.9800,0.0975,0.3143,0.0517,1.3387,0.4566,0.0000
0.2506,8.6499,0.1296,path,1.3911,4.9800,0.0064,0.0864,0.2352,1.0951,0.4189,0.3212
0.7500,13.0893,0.1727,combined,1.8607,5.0000,0.5372,0.5208,0.5397,1.8852,0.6965,0.0000
0.5500,10.5786,0.1893,combined,0.8683,5.0400,0.5500,-0.0829,0.5437,0.9026,0.2437,0.0000
0.4087,8.9545,0.0867,lateral,0.7716,5.0800,0.4045,-0.2852,0.2927,0.4025,0.1414,0.0000
0.2605,4.3860,0.0762,lateral,0.6068,5.0800,0.2265,0.0516,0.2553,0.4086,0.1551,0.0000
0.1229,8.9829,0.3641,path,1.4645,5.1000,0.0062,-0.0869,0.0870,0.6782,0.2843,0.3079
0.2596,2.9570,0.3301,path,2.3999,5.1200,0.0097,-0.1534,0.2094,1.4673,0.5116,0.4855
0.4226,2.0421,0.5776,path,2.7797,5.1200,0.0024,-0.1910,0.3770,1.5283,0.6423,0.7173
0.3597,1.5271,0.8438,path,2.7398,5.1200,0.0117,-0.3596,0.0068,1.1536,0.5476,0.5842
0.0841,8.5954,0.0374,stand,0.0000,5.1600,0.0000,nan,nan,0.1883,0.0638,0.0000
0.4065,10.5035,0.1172,straight,1.4140,5.1600,0.4065,0.2823,0.2925,1.3653,0.5124,0.0000
0.8479,4.3948,1.2719,path,2.6104,5.1800,0.0137,0.3935,0.7511,1.3507,0.7930,0.6847
0.3080,2.7255,0.1864,path,2.2676,5.1800,0.0088,-0.2332,0.2012,1.0742,0.4385,0.4382
0.4151,3.0310,0.1293,straight,1.3221,5.1800,0.4116,-0.4141,0.0278,0.7995,0.2256,0.0000
0.4808,14.4721,0.0149,lateral,1.2319,5.2000,0.4808,-0.3847,0.2884,0.5278,0.2483,0.0000
0.3636,2.7683,0.9535,path,1.6997,5.2600,0.0077,0.0475,0.3605,1.0462,0.5005,0.3836
0.1052,4.1766,0.1933,path,2.1026,5.2600,0.0082,-0.0681,0.0802,1.1681,0.6297,0.4093
0.5483,1.8420,0.1193,combined,1.2532,5.2800,0.5483,-0.5477,0.0268,0.4255,0.1690,0.0000
0.5015,8.3989,0.1171,combined,1.2866,5.3000,0.5015,-0.4262,0.2642,0.5190,0.1933,0.0000
0.0663,9.7460,0.7259,path,2.7758,5.3200,0.0448,-0.0105,0.0655,1.1819,0.7383,0.7076
0.2048,5.1134,0.6640,path,1.1678,5.3200,0.0093,-0.0244,0.2034,0.9524,0.5370,0.4681
0.3262,13.3323,0.1263,path,0.5586,5.3400,0.0069,-0.0592,0.3207,1.0654,0.3287,0.3468
0.6030,16.0441,0.0571,combined,1.1989,5.3400,0.6010,-0.5341,0.2799,0.8618,0.2982,0.0000
0.2606,5.9834,0.0865,turn,0.0000,5.3400,0.0000,nan,nan,0.4335,0.1615,0.0000
0.0682,0.0458,0.5530,path,2.1109,5.3600,0.0080,-0.0667,0.0140,0.9634,0.4327,0.4021
0.0721,8.2908,0.9202,path,3.8842,5.3800,0.0149,-0.0465,0.0551,1.1620,0.7422,0.7424
0.3845,0.8462,0.2551,path,1.3235,4.3800,0.0061,-0.1642,0.3476,0.6057,0.2993,0.3129
0.3219,8.2763,0.1442,path,1.8177,5.4000,0.0068,-0.1035,0.3048,1.0213,0.3741,0.3417
0.1415,0.7285,0.7172,path,2.6406,5.4000,0.0108,-0.1357,0.0402,1.3974,0.5598,0.5410
0.6024,1.8934,1.3779,path,3.8144,5.4200,0.0169,-0.6005,0.0468,1.3979,0.6143,0.7686
0.3014,5.0776,0.1881,turn,0.0000,5.4200,0.0000,nan,nan,0.4675,0.1651,0.0000
0.2870,0.0875,0.9582,path,2.4880,5.4200,0.0113,-0.0247,0.2859,1.2692,0.5697,0.5632
0.3059,16.8116,0.4313,path,1.6994,5.4200,0.0066,0.2856,0.1097,0.9496,0.3870,0.3319
0.5058,3.0310,0.6794,path,3.2812,5.4400,0.0129,-0.4253,0.2737,1.3031,0.5560,0.6429
0.4439,1.2422,0.1320,lateral,0.0967,5.5000,0.0952,-0.2556,0.3629,0.5546,0.1652,0.0000
0.1022,9.5455,0.9282,path,3.1311,5.5200,0.0125,-0.0024,0.1022,1.3342,0.6249,0.6276
0.3486,3.8720,0.0866,turn,0.0000,5.5400,0.0000,nan,nan,0.9280,0.1943,0.0000
0.5265,3.7622,0.8106,path,0.8497,5.5600,0.0149,0.4771,0.2228,1.3471,0.7397,0.7432
0.4746,11.5415,0.6611,path,2.3141,5.6000,0.0097,-0.0361,0.4733,1.1987,0.4901,0.4863
0.3007,5.7166,0.3301,path,2.6903,5.6000,0.0125,-0.2841,0.0983,0.8656,0.5454,0.6273
0.1194,0.5717,0.0159,stand,0.0000,5.6000,0.0000,nan,nan,0.2055,0.0532,0.0000
0.1501,6.8358,0.2316,path,1.5153,5.6200,0.0065,0.0641,0.1357,1.1053,0.3843,0.3235
0.6267,5.4189,0.1877,straight,1.9159,5.6200,0.1259,0.6243,0.0547,1.6434,0.7167,0.0000
0.4602,5.1221,0.0559,lateral,0.6379,5.6400,0.4568,-0.3111,0.3391,0.4491,0.1791,0.0000
0.4652,1.4526,0.1410,lateral,0.5826,5.6400,0.3344,-0.2113,0.4145,0.5104,0.2134,0.0000
0.8436,5.4532,0.4870,path,3.6411,5.6600,0.0130,-0.8335,0.1299,1.4481,0.5402,0.6489
0.6856,13.0231,0.6808,path,3.1696,5.6600,0.0120,-0.3042,0.6145,0.9638,0.5409,0.5976
0.5355,2.5415,0.0819,combined,1.0239,5.6800,0.4584,0.3687,0.3884,1.2692,0.3800,0.0000
0.4809,14.3154,0.0675,straight,0.2353,5.7000,0.1648,0.1762,0.4475,0.5611,0.2018,0.0000
0.1535,7.9282,0.8677,path,2.6222,5.7400,0.0095,0.0244,0.1515,1.0077,0.4791,0.4738
0.2525,11.7636,0.0151,lateral,1.2889,5.7400,0.2525,-0.1912,0.1649,0.5080,0.2214,0.0000
0.4306,2.6698,0.0427,lateral,0.6155,5.7600,0.3175,0.1360,0.4086,0.5158,0.1878,0.0000
0.1704,4.2591,0.9571,path,3.0464,5.7600,0.0112,-0.0849,0.1478,0.9970,0.5507,0.5317
0.4071,3.3733,0.3348,path,1.6656,5.7600,0.0066,-0.3925,0.1078,0.7680,0.2947,0.3312
0.1723,2.5589,1.0341,path,2.9064,5.7800,0.0101,-0.1492,0.0862,1.1168,0.5182,0.5029
0.1660,0.8263,0.7695,path,3.1926,5.7800,0.0139,0.1660,0.0017,1.3004,0.7886,0.6958
