pos_err_m,heading_err_deg,final_speed_mps,category,start_dist_m,duration_s,min_dist_m,along_err_m,cross_err_m,peak_speed_mps,mean_speed_mps,cmd_speed_mps
0.0488,0.5105,0.0176,straight,0.2012,4.8800,0.0488,0.0265,0.0410,0.3994,0.0824,0.0000
0.1229,7.3621,0.0371,turn,0.0000,4.8800,0.0000,nan,nan,0.4179,0.0778,0.0000
1.0531,23.3927,0.3715,path,2.4226,4.9000,0.0114,-1.0173,0.2723,0.5952,0.3369,0.5726
0.2338,8.7532,0.0630,lateral,1.3697,4.9200,0.2338,-0.2306,0.0383,0.6607,0.2463,0.0000
0.3441,0.5901,0.0685,combined,0.9057,4.9200,0.3406,-0.3301,0.0973,0.4358,0.1350,0.0000
0.0243,5.1973,0.0983,combined,0.4842,4.9600,0.0243,-0.0222,0.0098,0.4262,0.1276,0.0000
0.8779,9.1404,0.2021,path,1.7641,4.9600,0.0083,-0.8539,0.2038,0.3692,0.1979,0.4172
0.2390,10.8652,0.0615,straight,0.6827,4.9800,0.2390,-0.2184,0.0971,0.2407,0.1153,0.0000
0.8007,5.8067,0.2181,path,1.3911,4.9800,0.0064,-0.7908,0.1256,0.3602,0.1766,0.3212
0.4693,7.2539,0.1622,combined,1.8607,5.0000,0.4693,-0.4571,0.1065,0.6105,0.2834,0.0000
0.2584,5.3287,0.1038,combined,0.8683,5.0400,0.2584,-0.2342,0.1091,0.4280,0.1568,0.0000
0.0694,5.6457,0.0369,lateral,0.7716,5.0800,0.0683,-0.0450,0.0528,0.6452,0.1589,0.0000
0.1251,12.1525,0.0361,lateral,0.6068,5.0800,0.1251,-0.0771,0.0986,0.2881,0.1193,0.0000
0.6681,0.3382,0.2725,path,1.4645,5.1000,0.0062,-0.6656,0.0576,0.3369,0.2027,0.3079
1.2054,4.5342,0.3846,path,2.3999,5.1200,0.0097,-1.1911,0.1854,0.5110,0.2689,0.4855
1.4679,22.6611,0.5591,path,2.7797,5.1200,0.0143,-1.2759,0.7258,0.6997,0.4621,0.7173
1.1912,2.1462,0.5511,path,2.7398,5.1200,0.0117,-1.1890,0.0709,0.6221,0.3488,0.5842
0.1714,0.7956,0.0232,stand,0.0000,5.1600,0.0000,nan,nan,0.4015,0.0741,0.0000
