pos_err_m,heading_err_deg,final_speed_mps,category,start_dist_m,duration_s,min_dist_m,along_err_m,cross_err_m
0.2553,2.7305,0.0643,straight,0.5386,5.7400,0.2529,-0.2524,0.0383
0.1160,5.6430,0.0581,straight,0.9742,5.8000,0.1160,-0.0980,0.0620
0.1685,3.8349,0.0184,straight,0.0455,5.8200,0.0351,0.0447,0.1625
0.1275,5.0126,0.0361,straight,0.8274,5.8400,0.1275,-0.1174,0.0498
0.3836,10.1534,0.0685,combined,0.6839,5.8400,0.3836,-0.3812,0.0425
0.0441,4.8566,0.0484,turn,0.0000,5.8800,0.0000,nan,nan
0.0716,0.0600,0.0418,straight,0.0348,5.9000,0.0228,-0.0171,0.0695
0.2496,2.1483,0.0370,straight,0.7429,5.9200,0.2496,-0.1623,0.1896
0.0335,8.2488,0.0429,turn,0.0000,5.9400,0.0000,nan,nan
0.2521,7.6346,0.0117,lateral,0.5172,5.9600,0.2521,-0.2448,0.0604
0.1546,3.4540,0.0806,straight,0.0132,5.9600,0.0058,0.1015,0.1165
0.0681,4.3524,0.0799,lateral,0.3174,5.9600,0.0279,0.0655,0.0186
0.0472,5.7593,0.0864,lateral,0.1968,5.9800,0.0472,-0.0400,0.0252
0.1284,6.8476,0.0420,lateral,0.4809,5.9800,0.1284,-0.1185,0.0495
0.1505,2.2221,0.0808,straight,0.8512,6.0000,0.1505,-0.0556,0.1399
0.0853,0.2797,0.0573,turn,0.0000,6.0200,0.0000,nan,nan
0.0333,0.6094,0.0707,lateral,0.0694,6.0200,0.0021,0.0184,0.0277
0.4250,6.3149,0.1350,straight,0.9141,6.0200,0.4250,-0.4024,0.1365
0.1949,4.7111,0.0594,straight,0.2049,6.0600,0.1927,-0.0612,0.1850
0.1996,1.6618,0.0464,straight,0.5144,6.0800,0.1987,-0.1991,0.0138
0.0925,0.7674,0.0562,turn,0.0000,6.1000,0.0000,nan,nan
0.0847,1.8557,0.0597,combined,0.2858,6.1000,0.0847,-0.0616,0.0582
0.1266,5.6253,0.0625,straight,0.3992,6.1200,0.1266,-0.1261,0.0107
0.2625,5.2439,0.1609,combined,1.0113,6.1200,0.2625,-0.2449,0.0944
0.1327,4.0902,0.0897,turn,0.0000,6.1200,0.0000,nan,nan
0.1679,4.9926,0.0946,lateral,0.3731,6.1400,0.1679,-0.1277,0.1090
0.1090,2.4111,0.0597,combined,1.1037,6.1600,0.1090,-0.0845,0.0689
0.1575,6.0028,0.0828,straight,0.5854,6.1800,0.1334,0.0184,0.1564
0.2557,2.9844,0.0573,lateral,0.5461,6.2600,0.2528,-0.2350,0.1007
0.1061,0.5101,0.0847,lateral,0.2568,6.2600,0.0267,0.0771,0.0728
0.2244,1.7082,0.0305,lateral,0.5088,6.2800,0.2244,-0.2161,0.0604
0.0271,1.7920,0.0160,lateral,0.1923,6.2800,0.0271,-0.0085,0.0257
0.2687,3.5698,0.0721,lateral,0.0807,6.3000,0.0807,-0.2596,0.0696
0.2186,1.9691,0.0087,straight,0.1962,6.3400,0.1266,0.1291,0.1765
0.0676,3.1058,0.0548,turn,0.0000,6.4400,0.0000,nan,nan
0.0208,1.5693,0.0586,combined,0.6479,6.4800,0.0017,0.0202,0.0051
0.1179,2.8795,0.0132,lateral,0.3145,6.4800,0.0898,0.0513,0.1062
0.0840,6.8338,0.0575,lateral,0.5376,6.5200,0.0840,-0.0814,0.0206
0.0081,5.1649,0.0423,lateral,0.6158,6.5200,0.0006,0.0081,0.0004
0.1733,0.2234,0.0342,combined,0.4909,6.5400,0.1700,-0.1725,0.0167
0.3083,1.7478,0.0546,lateral,0.2428,6.5800,0.0927,0.2386,0.1953
0.2570,2.5377,0.0457,straight,0.7114,6.5800,0.2542,-0.2408,0.0897
0.0599,3.4059,0.0153,stand,0.0000,6.6000,0.0000,nan,nan
0.2030,1.8376,0.1517,lateral,0.2159,6.6400,0.1704,-0.1480,0.1389
0.0883,6.1870,0.1467,lateral,0.1051,6.6600,0.0221,0.0854,0.0225
0.0227,2.4890,0.0160,stand,0.0000,6.6800,0.0000,nan,nan
0.3247,0.5663,0.1157,straight,0.1604,6.6800,0.1563,0.1364,0.2947
0.0691,6.2417,0.0372,combined,0.7555,6.7000,0.0319,0.0663,0.0192
0.0741,0.0215,0.0374,turn,0.0000,6.7400,0.0000,nan,nan
0.4309,4.0614,0.0635,combined,0.8086,6.7400,0.4278,-0.4305,0.0179
0.2012,0.7913,0.1331,combined,0.4044,6.7600,0.0088,0.1821,0.0856
