pos_err_m,heading_err_deg,final_speed_mps,category,start_dist_m,duration_s,min_dist_m,along_err_m,cross_err_m,peak_speed_mps,mean_speed_mps,cmd_speed_mps
0.5934,2.6971,0.1396,straight,1.0203,4.8600,0.0260,0.5924,0.0344,1.5526,0.5230,1.4443
0.3976,4.6763,1.5658,path,5.0845,4.8800,0.0209,-0.3922,0.0649,1.7944,1.0495,1.1203
0.7905,9.8054,0.4805,path,1.1575,4.8800,0.0251,-0.6424,0.4606,1.1154,0.5322,1.4752
0.4394,3.4018,0.0516,turn,0.0000,4.9000,0.0000,nan,nan,0.6233,0.1937,0.7140
0.5620,9.8230,0.4721,path,1.3664,4.9200,0.0167,-0.5130,0.2297,0.6691,0.3579,0.6105
0.4209,1.7566,0.1654,turn,0.0000,4.9200,0.0000,nan,nan,0.3572,0.1311,1.4319
0.3296,4.9790,0.1836,combined,0.4701,4.9400,0.3186,-0.3250,0.0554,0.4878,0.1223,1.5047
0.5153,16.0187,0.0696,lateral,0.7703,4.9600,0.5139,-0.3641,0.3646,0.4515,0.1710,0.5158
0.6157,1.4512,0.1043,straight,1.7966,4.9800,0.6157,-0.6084,0.0950,0.4969,0.2621,0.4139
0.4719,9.1869,0.0760,combined,1.3685,4.9800,0.4710,-0.2324,0.4107,0.6030,0.2643,1.1705
0.7786,14.8974,1.1750,path,4.0960,5.0200,0.0229,-0.7260,0.2812,1.3505,0.8330,1.0051
0.3942,5.0193,0.4476,path,2.5775,5.0200,0.0000,-0.3307,0.2146,1.0727,0.4631,0.5184
0.4534,12.4611,0.2566,combined,1.4639,5.0600,0.4534,-0.4498,0.0570,0.5169,0.2476,1.0075
0.2225,6.2811,0.9055,path,4.9662,5.0600,0.0209,-0.2219,0.0155,1.6300,1.0195,1.0862
0.4685,5.4248,0.1509,turn,0.0000,5.0800,0.0000,nan,nan,0.5700,0.1513,0.5174
0.6494,4.0274,0.4410,path,5.6087,5.0800,0.0306,-0.5207,0.3880,1.6555,1.1634,1.4960
0.2271,11.6557,0.0341,lateral,1.3481,5.1000,0.2263,-0.1984,0.1104,0.5928,0.2452,0.3890
0.3361,1.5636,0.0710,turn,0.0000,5.1400,0.0000,nan,nan,0.4756,0.1321,0.8439
0.4092,7.3342,0.0628,straight,1.3852,5.1600,0.4092,-0.3523,0.2081,0.4599,0.2252,0.3931
0.5046,11.0754,0.0524,combined,1.4056,5.1600,0.5046,-0.4251,0.2719,0.5061,0.2067,0.9766
0.5046,5.7231,0.4956,path,2.9719,5.1600,0.0000,-0.4780,0.1616,1.3111,0.4941,0.6095
0.2866,0.0711,0.0751,combined,0.9035,5.2000,0.2461,0.1815,0.2218,1.1444,0.3607,1.4025
0.3803,10.8876,0.9679,path,4.7785,5.2400,0.0204,-0.3717,0.0804,1.5236,1.0279,1.1217
0.4970,11.4370,0.0982,turn,0.0000,5.2800,0.0000,nan,nan,0.5906,0.1790,0.3620
0.5703,3.2867,0.0583,combined,1.4870,5.2800,0.5703,-0.5192,0.2360,0.5160,0.2351,0.5209
0.5898,1.9471,1.0732,path,3.2309,5.2800,0.0162,-0.5509,0.2106,1.5699,0.6334,0.7781
0.5294,2.2801,0.2190,combined,1.2952,5.3200,0.4446,0.4737,0.2364,1.1513,0.3859,1.2309
1.1532,3.6871,1.0379,path,5.9754,5.3200,0.0308,-0.9267,0.6864,1.8105,1.1525,1.5447
0.6067,1.9472,0.1074,combined,1.7264,5.3200,0.6067,-0.6020,0.0754,0.5406,0.2556,1.2892
0.6133,3.7154,1.3399,path,4.9336,5.3400,0.0000,-0.4958,0.3610,1.7732,1.2761,1.5303
0.5082,3.2064,0.1568,straight,1.1212,5.3400,0.5047,-0.4908,0.1320,0.5853,0.1718,1.3156
0.4345,5.8948,0.0972,combined,1.5242,5.3600,0.4345,-0.4289,0.0693,0.4938,0.2314,1.2160
0.4853,8.6781,0.0794,turn,0.0000,5.4200,0.0000,nan,nan,0.6959,0.1671,1.3522
0.6576,9.4367,0.3123,combined,1.9835,5.4400,0.6576,-0.5677,0.3320,1.1172,0.3379,0.9872
0.2245,6.6920,0.0127,stand,0.0000,5.4600,0.0000,nan,nan,0.4794,0.0943,0.0000
0.4811,3.1397,0.0818,straight,0.8854,5.4600,0.0064,0.4809,0.0151,1.2004,0.3512,1.3452
0.2558,2.0234,0.6444,path,1.7944,5.4800,0.0082,-0.1779,0.1837,0.7889,0.3890,0.4355
0.4267,0.1083,0.0663,straight,0.6119,5.4800,0.0031,0.4257,0.0289,0.9744,0.3014,1.0705
0.3337,1.9264,0.2561,lateral,0.4218,5.4800,0.3337,-0.1949,0.2709,0.3494,0.1247,0.7275
0.3979,7.1083,0.0406,lateral,0.8781,5.5200,0.3897,-0.0365,0.3962,0.6233,0.2156,0.4895
0.9402,4.4206,0.5431,path,3.4718,5.5200,0.0000,-0.7553,0.5599,1.5415,0.7795,1.2281
0.5128,3.4386,0.1206,straight,1.6460,5.5400,0.5110,-0.4807,0.1785,0.4955,0.2417,0.8234
0.5543,2.8274,0.0446,combined,0.6595,5.5400,0.3994,0.5310,0.1591,0.9899,0.3140,0.4286
0.5646,7.1782,0.1634,combined,2.3620,5.5800,0.2771,0.3090,0.4726,1.7381,0.7070,1.5870
0.0666,5.8567,0.0756,stand,0.0000,5.5800,0.0000,nan,nan,0.1763,0.0530,1.3913
0.3869,2.8425,0.9243,path,4.0321,5.5800,0.0158,-0.3867,0.0149,1.1969,0.8098,0.9054
0.4526,14.8308,0.3238,lateral,1.4559,5.6000,0.4526,-0.3570,0.2782,0.5803,0.2346,0.9262
0.3395,1.4303,0.0650,lateral,0.8542,5.6200,0.3325,-0.0570,0.3347,0.4726,0.1840,0.4575
0.6719,1.6574,0.1020,combined,1.9686,5.6600,0.6719,-0.6569,0.1412,0.5649,0.2758,0.3368
0.2389,5.5646,0.0908,turn,0.0000,5.6600,0.0000,nan,nan,0.4226,0.1163,0.6493
0.5677,0.8611,0.1027,lateral,0.7597,5.6600,0.5455,-0.3814,0.4204,0.4511,0.1594,1.1784
0.4299,3.0775,0.1208,combined,1.5073,5.6600,0.4299,-0.1009,0.4179,0.7163,0.2586,1.1687
0.4318,6.1206,0.0465,straight,1.7701,5.6800,0.4301,-0.3890,0.1875,0.5576,0.2673,0.9862
0.2547,4.0874,0.0271,turn,0.0000,5.6800,0.0000,nan,nan,0.4874,0.1175,0.7219
0.6080,0.0482,1.1345,path,2.8885,5.7000,0.0081,0.2122,0.5697,1.2244,0.5917,0.5208
0.5013,7.8225,0.2544,combined,1.1470,5.7200,0.4777,-0.4017,0.2998,0.4426,0.2032,0.5240
0.6845,7.3585,1.2361,path,3.9867,5.7400,0.0299,-0.5442,0.4153,1.5946,0.9988,1.2795
0.4668,9.5528,0.2911,combined,1.7688,5.7600,0.4668,-0.4305,0.1805,0.5150,0.2867,1.1234
0.3132,2.8900,0.7494,path,4.2407,5.8000,0.0000,-0.3122,0.0254,1.2343,0.7076,0.7597
0.2741,14.3433,1.4742,path,5.0553,5.8200,0.0209,-0.2430,0.1269,1.6237,1.0167,1.1894
0.3793,2.1984,0.1482,turn,0.0000,5.8200,0.0000,nan,nan,0.4408,0.1298,0.7739
0.2662,18.4894,0.4413,path,2.9160,5.8400,0.0000,-0.0642,0.2584,1.0199,0.6429,0.7304
0.4639,6.5524,0.0899,straight,1.0253,5.8600,0.1982,0.4274,0.1804,1.3216,0.4102,0.9225
0.2773,1.5575,0.0318,turn,0.0000,5.8800,0.0000,nan,nan,0.7086,0.1348,0.3828
0.5298,1.7577,1.2304,path,4.0116,5.8800,0.0000,0.2478,0.4683,1.5684,0.9649,0.8588
0.4074,4.9408,0.1746,combined,0.8877,5.9000,0.4071,-0.3218,0.2499,0.3516,0.1485,1.1739
2.2469,41.7664,0.4840,path,2.8777,5.9200,0.0000,-1.4349,1.7291,1.2972,0.5956,1.4942
