pos_err_m,heading_err_deg,final_speed_mps,category,start_dist_m,duration_s,min_dist_m,along_err_m,cross_err_m
0.0160,4.2561,0.0014,stand,0.0000,5.0000,0.0000,nan,nan
0.0678,3.4859,0.0780,turn,0.0000,5.0600,0.0000,nan,nan
0.0560,3.5984,0.0310,lateral,1.1042,5.0800,0.0337,0.0404,0.0388
0.1016,0.8705,0.0907,lateral,0.7101,5.0800,0.0844,-0.0830,0.0587
0.0763,2.0163,0.1771,combined,1.0111,5.1000,0.0452,-0.0245,0.0723
0.0704,4.5394,0.0924,combined,1.8472,5.1600,0.0553,-0.0545,0.0445
0.1043,4.4917,0.1791,lateral,1.4010,5.1600,0.0963,-0.0686,0.0785
0.1228,1.5203,0.0284,lateral,0.1621,5.1800,0.0035,0.1213,0.0194
0.0275,1.6387,0.1482,straight,1.4431,5.1800,0.0212,-0.0206,0.0182
0.0920,1.9949,0.0608,turn,0.0000,5.2000,0.0000,nan,nan
0.0533,0.2859,0.0826,straight,1.9252,5.2200,0.0525,-0.0484,0.0224
0.1589,3.4700,0.0578,lateral,0.7240,5.2400,0.1426,-0.1293,0.0924
0.0562,3.2075,0.0833,combined,0.8800,5.2200,0.0264,0.0427,0.0365
0.0369,1.5750,0.0552,combined,2.0102,5.2600,0.0137,0.0369,0.0007
0.0754,2.2485,0.1113,combined,1.4622,5.2600,0.0409,0.0580,0.0482
0.1695,2.4724,0.1942,combined,2.1056,5.2800,0.1552,-0.1491,0.0805
0.0243,0.1244,0.1021,straight,0.9922,5.2800,0.0039,0.0195,0.0145
0.1743,2.1114,0.1237,combined,1.0624,5.3000,0.1729,-0.1743,0.0014
0.0355,0.7355,0.0206,straight,0.7416,5.3200,0.0295,-0.0303,0.0184
0.0736,1.3776,0.1877,combined,1.2033,5.3200,0.0280,-0.0031,0.0735
0.0074,3.1550,0.0798,turn,0.0000,5.3800,0.0000,nan,nan
0.1325,0.5196,0.0352,combined,1.4924,5.4200,0.1199,0.0369,0.1273
0.0492,1.0659,0.1614,lateral,1.3074,5.4200,0.0086,0.0490,0.0034
0.1718,3.8005,0.1083,straight,1.7676,5.4200,0.1594,-0.1147,0.1279
0.0176,0.2723,0.0938,turn,0.0000,5.4800,0.0000,nan,nan
0.0416,1.4851,0.0187,straight,0.6332,5.5400,0.0334,-0.0337,0.0244
0.0406,2.8023,0.0932,combined,1.5059,5.5600,0.0109,0.0288,0.0286
0.0650,0.2063,0.2222,straight,0.3466,5.5600,0.0181,0.0646,0.0079
0.0322,0.8908,0.1699,straight,0.9632,5.5800,0.0158,0.0256,0.0195
0.1196,3.2159,0.1460,turn,0.0000,5.5800,0.0000,nan,nan
0.0993,1.4621,0.0443,straight,0.5245,5.6000,0.0949,-0.0873,0.0474
0.0641,0.9760,0.1045,lateral,0.9998,5.6600,0.0526,-0.0559,0.0313
0.0800,2.1810,0.0481,combined,2.0123,5.6800,0.0670,-0.0793,0.0101
0.1439,3.4322,0.0836,combined,0.9143,5.7000,0.0232,0.1438,0.0071
0.1567,3.9249,0.0381,combined,1.7328,5.6800,0.1567,-0.0850,0.1316
0.1448,1.6654,0.0665,lateral,0.8265,5.7200,0.1270,-0.1353,0.0516
0.1831,1.8879,0.1530,straight,0.2329,5.7200,0.1717,-0.1642,0.0812
0.0866,1.9399,0.2592,combined,1.2067,5.7200,0.0866,-0.0823,0.0270
0.0492,0.5754,0.0632,straight,1.0259,5.7400,0.0465,-0.0492,0.0003
0.0165,0.2761,0.1522,turn,0.0000,5.7800,0.0000,nan,nan
0.0233,1.9667,0.1184,lateral,0.5661,5.8000,0.0164,-0.0053,0.0227
0.0032,0.3875,0.0594,straight,0.0867,5.8200,0.0022,0.0012,0.0030
0.1181,1.1232,0.0495,combined,0.5592,5.8400,0.0153,0.1154,0.0247
0.1393,1.3323,0.0197,lateral,0.8427,5.8400,0.1178,-0.1333,0.0405
0.0414,4.4722,0.0715,combined,1.7698,5.8600,0.0410,-0.0292,0.0293
0.0630,3.3489,0.0679,combined,1.4622,5.8800,0.0630,0.0141,0.0614
0.1262,0.2882,0.0039,straight,0.0663,5.9000,0.0047,0.0581,0.1120
0.1086,5.1220,0.1045,combined,1.4585,5.9200,0.0327,0.1086,0.0007
0.0270,2.7856,0.0234,straight,0.9544,5.9000,0.0038,0.0188,0.0194
