pos_err_m,heading_err_deg,final_speed_mps,category,start_dist_m,duration_s,min_dist_m,along_err_m,cross_err_m,peak_speed_mps,mean_speed_mps,cmd_speed_mps
0.0168,1.7558,0.0637,turn,0.0000,4.8600,0.0000,nan,nan,0.3020,0.0394,0.0000
0.0122,2.7565,0.0322,straight,1.0203,4.8600,0.0099,0.0081,0.0092,1.0783,0.2541,0.0000
0.0225,10.0962,0.0190,straight,0.7431,4.8800,0.0225,0.0092,0.0205,0.8384,0.1785,0.0000
0.0481,2.8837,0.0187,straight,1.9053,4.8800,0.0441,-0.0197,0.0439,1.3783,0.4100,0.0000
0.0252,4.7613,0.0324,turn,0.0000,4.9000,0.0000,nan,nan,0.3789,0.0966,0.0000
0.0798,3.9081,0.0074,combined,2.0987,4.9200,0.0555,0.0190,0.0775,1.3970,0.4559,0.0000
0.0370,2.8488,0.0205,turn,0.0000,4.9200,0.0000,nan,nan,0.2428,0.0561,0.0000
0.0200,4.8113,0.0632,combined,0.4701,4.9400,0.0136,-0.0199,0.0017,0.7740,0.1142,0.0000
0.0149,1.7327,0.0224,lateral,0.7703,4.9600,0.0092,0.0134,0.0065,0.8563,0.1722,0.0000
0.0204,1.1008,0.0271,straight,1.7966,4.9800,0.0196,-0.0083,0.0187,1.4318,0.3705,0.0000
0.0056,1.8201,0.0441,combined,1.3685,4.9800,0.0023,0.0056,0.0002,1.1603,0.2771,0.0000
0.0390,1.4562,0.0411,combined,1.2540,5.0200,0.0056,0.0355,0.0161,1.2260,0.2843,0.0000
0.0444,3.3142,0.0557,turn,0.0000,5.0200,0.0000,nan,nan,0.7032,0.1298,0.0000
0.0287,6.8737,0.0484,combined,1.4639,5.0600,0.0276,0.0256,0.0131,1.3209,0.3405,0.0000
0.0079,1.4767,0.0101,straight,1.6367,5.0600,0.0079,-0.0061,0.0051,1.3883,0.3381,0.0000
0.0203,0.2699,0.0310,turn,0.0000,5.0800,0.0000,nan,nan,0.3004,0.0497,0.0000
0.0135,0.4511,0.0145,combined,0.4960,5.0800,0.0085,0.0132,0.0030,0.5109,0.1149,0.0000
0.0149,1.8857,0.0299,lateral,1.3481,5.1000,0.0149,-0.0148,0.0011,1.1378,0.2731,0.0000
0.0088,0.5769,0.0256,turn,0.0000,5.1400,0.0000,nan,nan,0.1916,0.0415,0.0000
0.0425,3.3025,0.0102,straight,1.3852,5.1600,0.0413,-0.0070,0.0419,1.2046,0.2839,0.0000
0.0229,5.7970,0.0220,combined,1.4056,5.1600,0.0229,-0.0206,0.0099,1.2507,0.2761,0.0000
0.0088,0.5140,0.0524,turn,0.0000,5.1600,0.0000,nan,nan,0.1990,0.0393,0.0000
0.0061,4.0449,0.0354,combined,0.9035,5.2000,0.0005,0.0031,0.0052,0.8548,0.1830,0.0000
0.0521,3.8966,0.0450,combined,1.2910,5.2400,0.0336,0.0424,0.0303,1.2856,0.2934,0.0000
0.0200,2.0065,0.0273,turn,0.0000,5.2800,0.0000,nan,nan,0.5542,0.1227,0.0000
0.0076,1.0831,0.0319,combined,1.4870,5.2800,0.0076,0.0074,0.0019,1.3019,0.3147,0.0000
0.0387,1.9394,0.0100,combined,0.6161,5.2800,0.0212,-0.0065,0.0381,0.6234,0.1376,0.0000
0.0162,0.6312,0.0415,straight,0.4724,5.3200,0.0104,-0.0039,0.0157,0.6599,0.1213,0.0000
0.0339,3.6979,0.0243,combined,1.7264,5.3200,0.0320,0.0022,0.0339,1.5299,0.3732,0.0000
0.0056,0.1415,0.0348,turn,0.0000,5.3400,0.0000,nan,nan,0.3213,0.0581,0.0000
0.0346,2.0498,0.0084,straight,1.1212,5.3400,0.0001,0.0233,0.0256,1.2684,0.2325,0.0000
0.0286,3.6107,0.0094,combined,1.5242,5.3600,0.0284,-0.0121,0.0259,1.0826,0.2819,0.0000
0.0528,2.7576,0.0550,turn,0.0000,5.4200,0.0000,nan,nan,0.8198,0.1624,0.0000
0.0246,8.3349,0.0118,combined,1.9835,5.4400,0.0082,0.0065,0.0237,1.8715,0.4026,0.0000
0.0204,0.2295,0.0365,stand,0.0000,5.4600,0.0000,nan,nan,0.1838,0.0437,0.0000
0.0181,3.7195,0.0484,straight,0.8854,5.4600,0.0181,-0.0082,0.0161,0.7236,0.1775,0.0000
0.0326,0.0744,0.0326,combined,2.0383,5.4800,0.0252,-0.0039,0.0324,1.6072,0.3739,0.0000
0.0326,4.3165,0.0853,straight,0.6119,5.4800,0.0275,-0.0323,0.0039,0.4375,0.1228,0.0000
0.0171,2.0530,0.0205,lateral,0.4218,5.4800,0.0148,0.0123,0.0119,0.6995,0.1062,0.0000
0.0045,2.7960,0.0314,lateral,0.8781,5.5200,0.0041,-0.0045,0.0004,0.9977,0.1730,0.0000
0.0034,1.6080,0.0406,stand,0.0000,5.5200,0.0000,nan,nan,0.3472,0.0409,0.0000
0.0334,3.7402,0.0401,straight,1.6460,5.5400,0.0244,-0.0215,0.0256,1.2705,0.3144,0.0000
0.0324,1.8890,0.0313,combined,0.6595,5.5400,0.0252,0.0276,0.0171,1.0639,0.1970,0.0000
0.0504,0.7852,0.0368,combined,2.3620,5.5800,0.0394,-0.0188,0.0468,1.7211,0.4348,0.0000
0.0710,0.3170,0.0256,stand,0.0000,5.5800,0.0000,nan,nan,0.1253,0.0485,0.0000
0.0269,0.1382,0.0082,straight,1.1535,5.5800,0.0122,-0.0124,0.0238,0.9939,0.2260,0.0000
0.0436,0.6927,0.0109,lateral,1.4559,5.6000,0.0407,-0.0185,0.0394,1.1938,0.2710,0.0000
0.0381,0.4628,0.0264,lateral,0.8542,5.6200,0.0334,0.0191,0.0330,0.9879,0.1814,0.0000
0.0349,0.6777,0.0580,combined,1.9686,5.6600,0.0278,-0.0168,0.0306,1.2486,0.3775,0.0000
0.0418,4.7283,0.0364,turn,0.0000,5.6600,0.0000,nan,nan,0.1377,0.0378,0.0000
0.0650,1.2655,0.0130,lateral,0.7597,5.6600,0.0578,-0.0131,0.0637,0.9424,0.1640,0.0000
0.0512,0.8995,0.0200,combined,1.5073,5.6600,0.0451,-0.0127,0.0496,1.2276,0.2773,0.0000
0.0065,1.9505,0.0266,straight,1.7701,5.6800,0.0065,-0.0052,0.0039,1.4521,0.3278,0.0000
0.0192,1.5461,0.0056,turn,0.0000,5.6800,0.0000,nan,nan,0.2379,0.0441,0.0000
0.0092,2.4877,0.0931,lateral,1.0519,5.7000,0.0044,0.0089,0.0026,1.0296,0.2195,0.0000
0.0232,1.2267,0.0154,combined,1.1470,5.7200,0.0219,-0.0169,0.0159,1.1626,0.2308,0.0000
0.0145,4.8641,0.0161,combined,1.2274,5.7400,0.0082,-0.0108,0.0096,1.0887,0.2259,0.0000
0.0228,5.6271,0.0245,combined,1.7688,5.7600,0.0228,-0.0038,0.0224,1.2007,0.3067,0.0000
0.0783,1.4021,0.0131,stand,0.0000,5.8000,0.0000,nan,nan,0.4526,0.0568,0.0000
0.0329,6.2491,0.0308,straight,0.1710,5.8200,0.0035,-0.0101,0.0313,0.2371,0.0572,0.0000
0.0094,2.2877,0.0275,turn,0.0000,5.8200,0.0000,nan,nan,0.2714,0.0488,0.0000
0.1023,3.1518,0.0234,stand,0.0000,5.8400,0.0000,nan,nan,0.1924,0.0479,0.0000
0.0128,0.6241,0.0312,straight,1.0253,5.8600,0.0060,0.0067,0.0109,0.9985,0.2278,0.0000
0.0389,0.1106,0.0438,turn,0.0000,5.8800,0.0000,nan,nan,0.2456,0.0536,0.0000
0.0411,8.0472,0.0506,turn,0.0000,5.8800,0.0000,nan,nan,0.4659,0.0854,0.0000
0.0372,3.9239,0.0123,combined,0.8877,5.9000,0.0352,-0.0237,0.0287,0.8267,0.1740,0.0000
0.0477,2.0444,0.0439,turn,0.0000,5.9200,0.0000,nan,nan,0.5965,0.1197,0.0000
0.0049,2.1870,0.0246,lateral,0.0481,5.9200,0.0011,-0.0034,0.0035,0.1938,0.0494,0.0000
0.0188,1.8735,0.0187,combined,1.2578,5.9400,0.0151,-0.0145,0.0119,1.2586,0.2520,0.0000
0.0286,2.6398,0.0634,combined,1.1819,5.9400,0.0176,0.0063,0.0279,1.1854,0.2450,0.0000
0.0071,0.4320,0.0508,combined,1.6819,5.9600,0.0039,0.0068,0.0021,1.3796,0.2938,0.0000
0.0429,6.0942,0.0216,combined,1.9451,6.0000,0.0370,0.0176,0.0391,1.3937,0.3817,0.0000
0.0104,0.5770,0.0214,straight,0.3982,6.0000,0.0018,0.0054,0.0088,0.4734,0.0918,0.0000
0.0137,5.8038,0.0399,turn,0.0000,6.0200,0.0000,nan,nan,0.5238,0.0690,0.0000
0.0051,0.5242,0.0105,lateral,1.0011,6.0200,0.0046,-0.0037,0.0035,1.1522,0.1899,0.0000
0.0340,1.4190,0.0277,combined,2.0204,6.0800,0.0272,-0.0085,0.0329,1.4002,0.3327,0.0000
0.0381,3.5194,0.0425,straight,1.0643,6.0800,0.0359,-0.0069,0.0375,0.9736,0.1918,0.0000
0.0141,0.5198,0.0883,combined,0.5573,6.1000,0.0070,0.0067,0.0124,0.5862,0.1132,0.0000
0.0192,2.7561,0.0124,straight,1.8659,6.1200,0.0155,-0.0108,0.0159,1.4072,0.3346,0.0000
0.0074,0.2562,0.0276,straight,1.5006,6.1400,0.0073,0.0074,0.0005,1.2879,0.2691,0.0000
0.0290,4.9760,0.0545,straight,0.9327,6.1400,0.0106,0.0243,0.0158,0.9029,0.1754,0.0000
0.0328,1.5459,0.0401,turn,0.0000,6.1400,0.0000,nan,nan,0.4105,0.0566,0.0000
0.0454,2.4860,0.0552,straight,0.2948,6.1600,0.0066,0.0221,0.0397,0.4570,0.0773,0.0000
0.0372,0.6225,0.0356,lateral,0.5834,6.1800,0.0004,0.0315,0.0197,0.9570,0.1251,0.0000
0.0457,2.7634,0.0344,turn,0.0000,6.2600,0.0000,nan,nan,0.2642,0.0458,0.0000
0.0281,0.7703,0.0378,turn,0.0000,6.2600,0.0000,nan,nan,0.6302,0.1150,0.0000
0.0454,7.1151,0.0603,combined,2.2459,6.2600,0.0127,0.0337,0.0304,1.6930,0.4339,0.0000
0.0115,7.5194,0.0527,lateral,1.0349,6.2800,0.0079,0.0020,0.0113,1.0771,0.1974,0.0000
0.0248,5.5196,0.0453,turn,0.0000,6.2800,0.0000,nan,nan,0.2037,0.0409,0.0000
0.0103,2.5876,0.0063,combined,1.8472,6.2800,0.0044,0.0028,0.0100,1.4302,0.3276,0.0000
0.0318,1.7177,0.0346,lateral,0.5902,6.2800,0.0209,-0.0203,0.0246,0.7556,0.1112,0.0000
0.0440,7.5314,0.0454,combined,1.3931,6.3200,0.0202,-0.0184,0.0399,1.1955,0.2455,0.0000
