pos_err_m,heading_err_deg,final_speed_mps,category,start_dist_m,duration_s,min_dist_m,along_err_m,cross_err_m
0.2609,5.0544,0.0645,lateral,1.1042,5.0800,0.2609,-0.2537,0.0611
0.2844,4.4222,0.0585,lateral,0.7101,5.0800,0.2799,-0.2772,0.0636
0.0479,10.3384,0.1115,combined,1.0111,5.1000,0.0060,0.0373,0.0301
0.7184,4.7614,0.0333,combined,1.8472,5.1600,0.7184,-0.7154,0.0654
0.1682,10.0188,0.1204,lateral,1.4010,5.1600,0.1403,0.0142,0.1676
0.2973,3.5171,0.0399,lateral,0.1621,5.1800,0.1046,-0.1363,0.2643
0.2980,3.4390,0.1631,straight,1.4431,5.1800,0.2980,-0.2945,0.0455
0.3164,1.0108,0.1204,turn,0.0000,5.2000,0.0000,nan,nan
0.6792,1.3598,0.1316,straight,1.9252,5.2200,0.6792,-0.6581,0.1682
0.0620,15.7395,0.0387,stand,0.0000,5.2200,0.0000,nan,nan
0.3030,4.0927,0.0375,lateral,0.7240,5.2400,0.3011,-0.2799,0.1161
0.3789,2.8437,0.1340,combined,0.8800,5.2200,0.3789,-0.3270,0.1915
0.8539,1.8867,0.0257,combined,2.0102,5.2600,0.8539,-0.8521,0.0553
0.3402,3.3601,0.1792,combined,1.4622,5.2600,0.3402,-0.3081,0.1442
0.2266,0.7495,0.1132,combined,2.1056,5.2800,0.2266,-0.2257,0.0206
0.1524,7.7710,0.1934,straight,0.9922,5.2800,0.1524,-0.0535,0.1427
0.6348,2.5150,0.1244,combined,1.0624,5.3000,0.6293,-0.6347,0.0046
0.3941,5.5882,0.0286,straight,0.7416,5.3200,0.0337,-0.3012,0.2542
0.3833,5.7232,0.0778,combined,1.2033,5.3200,0.3293,-0.3825,0.0251
0.3865,4.7314,0.1417,lateral,1.3074,5.4200,0.3783,-0.3663,0.1233
0.4410,6.7945,0.2165,straight,1.7676,5.4200,0.4410,-0.4264,0.1124
0.0229,3.4951,0.0547,turn,0.0000,5.4800,0.0000,nan,nan
0.1393,3.6082,0.1634,straight,0.6332,5.5400,0.1393,-0.0975,0.0995
0.3168,1.0039,0.0812,combined,1.5059,5.5600,0.3168,-0.3113,0.0590
0.1411,2.8619,0.0770,straight,0.3466,5.5600,0.1378,-0.1372,0.0330
0.4885,3.7378,0.0518,straight,0.9632,5.5800,0.4606,-0.3865,0.2988
0.2700,0.5461,0.1008,turn,0.0000,5.5800,0.0000,nan,nan
0.1089,1.6813,0.1214,straight,0.5245,5.6000,0.1089,-0.1022,0.0378
0.3454,0.2142,0.0909,lateral,0.9998,5.6600,0.3371,-0.2343,0.2537
0.6415,1.6754,0.1365,combined,2.0123,5.6800,0.6415,-0.6371,0.0749
0.1152,2.6059,0.1127,combined,0.9143,5.7000,0.1139,-0.0295,0.1113
0.0961,6.5850,0.0734,combined,1.7328,5.6800,0.0955,-0.0959,0.0055
0.1412,7.3970,0.0942,lateral,0.8265,5.7200,0.1284,0.0056,0.1411
0.1526,1.5313,0.0839,straight,0.2329,5.7200,0.1526,-0.1474,0.0397
0.4621,2.0604,0.1566,combined,1.2067,5.7200,0.4621,-0.4535,0.0892
0.5087,6.5828,0.1675,straight,1.0259,5.7400,0.4983,-0.5035,0.0729
0.2771,0.6891,0.1169,turn,0.0000,5.7800,0.0000,nan,nan
0.0493,4.4320,0.1331,lateral,0.5661,5.8000,0.0493,-0.0470,0.0150
0.2428,11.6286,0.1049,straight,0.0867,5.8200,0.0361,-0.1470,0.1933
0.4000,10.5497,0.1368,combined,0.5592,5.8400,0.2565,0.2292,0.3278
0.1715,3.2560,0.1078,lateral,0.8427,5.8400,0.1686,-0.1520,0.0796
0.4471,1.8127,0.0528,combined,1.7698,5.8600,0.4471,-0.4452,0.0414
0.1679,5.6535,0.0968,combined,1.4622,5.8800,0.1679,-0.1275,0.1092
0.1424,0.7412,0.0509,straight,0.0663,5.9000,0.0607,-0.0982,0.1032
0.1419,5.5557,0.0711,combined,1.4585,5.9200,0.1109,-0.1054,0.0950
0.1289,3.1350,0.1820,lateral,1.1403,5.9200,0.1289,-0.1277,0.0171
0.3410,9.7082,0.1056,straight,0.9544,5.9000,0.3410,-0.3373,0.0500
0.1351,0.6108,0.1835,turn,0.0000,5.9200,0.0000,nan,nan
0.3545,1.3548,0.0502,straight,1.4151,5.9200,0.3545,-0.3082,0.1751
0.1694,8.1252,0.2244,turn,0.0000,5.9400,0.0000,nan,nan
0.1879,1.6995,0.0829,lateral,1.1082,5.9600,0.1690,0.0278,0.1859
0.2243,5.3621,0.1411,turn,0.0000,5.9600,0.0000,nan,nan
0.5826,2.6893,0.0619,lateral,1.0306,5.9800,0.5801,-0.5305,0.2408
0.4595,6.7574,0.2425,turn,0.0000,6.0200,0.0000,nan,nan
0.1304,2.7658,0.0693,straight,0.1738,6.0200,0.1252,-0.1003,0.0833
0.3451,3.6533,0.0737,lateral,1.0605,6.0200,0.2662,-0.2572,0.2302
0.2097,0.2182,0.0323,lateral,0.8624,6.0200,0.1781,0.0523,0.2031
0.2762,2.3025,0.0396,combined,0.1634,6.0400,0.1597,-0.2760,0.0100
