t_s,low_state_age_s,policy_state_age_s,low_state_seq,tick_dt_s,tilt_deg,roll,pitch,gx,gy,gz,walking,gait_freq,gait_process,pub_hz,goal_x,goal_y,heading_err,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq7,dq8,dq9,dq10,dq11,tau0,tau1,tau2,tau3,tau4,tau5,tau6,tau7,tau8,tau9,tau10,tau11,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11,gate_rej_legs,gate_rej_total,gate_samples,gate_dt_p99_ms,gate_dt_max_ms
15.652,0.0013354,0.0057762,4311,0.011478,4.8822,0.02696,0.080842,0.2848,-0.72681,0.26676,1,2,0.43924,99.598,0.6,0,0,-0.42172,0.015831,0.058556,0.8917,-0.52685,0.051383,-0.093271,-0.0074388,0.059319,0.39502,-0.37762,-0.14133,-2.0918,0.14967,0.36876,5.6889,-2.3959,-3.5445,0.95343,-0.73329,-0.026495,0.80855,0.48541,0.40051,-0.62835,3.022,-1.0007,-11.15,2.821,-2.5689,2.4436,-10.815,3.4451,-0.61077,0.33766,-2.9618,-0.18649,0.034782,0.029848,0.2709,-0.33167,0.025725,0.05917,0.016348,-0.010837,0.14236,0.089541,-0.16094,0,0,4313,15,1003.9
15.679,0.001905,0.01193,4319,0.026681,4.0866,0.033853,0.062791,0.35853,-0.95692,0.057162,1,2,0.48143,99.6,0.6,0,0,-0.43698,0.020409,0.060082,0.94663,-0.53796,-0.10354,-0.073434,-0.023079,0.062371,0.41943,-0.37675,-0.12797,-0.73963,0.29222,0.087326,2.5548,-0.065922,-8.6028,1.1255,-0.86946,0.14884,1.4201,-0.11897,0.7513,0.90762,3.3516,-1.1387,-15.952,3.6591,2.4707,0.20945,-6.5057,2.5505,-1.367,2.7979,-3.1128,-0.16705,0.085406,-0.026139,0.24765,-0.38818,-0.030744,0.013852,0.030126,-0.025853,0.23627,0.2345,-0.13705,0,0,4322,15,1003.9
15.69,0.0014537,0.0045632,4326,0.01134,3.1447,0.042724,0.034465,0.41802,-1.0102,-0.083913,1,2,0.51798,99.606,0.6,0,0,-0.43278,0.029946,0.061227,0.94587,-0.52248,-0.1369,-0.059319,-0.031853,0.062371,0.43965,-0.39034,-0.11578,0.24442,0.65484,0.092405,-0.093174,1.0773,-1.7853,0.96696,-0.59983,0.0081064,1.4372,-0.95143,0.78622,0.34908,3.8278,-1.2997,-12.346,2.0699,4.1569,-0.76799,-6.6169,1.5297,-2.1232,4.0637,-2.8949,-0.14036,0.041805,-0.0012685,0.22527,-0.44082,0.048734,0.015166,-0.0033187,-0.00022862,0.26014,0.3021,-0.020009,2,2,4327,15,1003.9
15.718,0.0048593,0.01741,4332,0.027623,2.8695,0.040723,0.029161,-0.0058813,-0.52043,0.15377,1,2,0.55434,99.594,0.6,0,0,-0.40036,0.031472,0.062371,0.82303,-0.45552,-0.12945,-0.036431,-0.030327,0.06199,0.47398,-0.43729,-0.10691,0.84456,0.02914,-0.30574,-4.4574,2.6182,-0.40685,0.73956,0.10465,-0.17079,0.92453,-1.3856,0.30814,-3.1418,-3.6447,1.5297,-2.8793,-1.5681,-3.986,-6.0741,0.62886,-0.54059,-5.4506,6.755,-2.9186,-0.095786,0.066425,-0.038591,0.06815,-0.32722,0.11689,0.023031,0.018367,4.9854e-05,0.31666,0.14677,0.065333,7,7,4336,15,1003.9
15.731,0.0014556,0.0057837,4340,0.013391,2.6863,0.033423,0.032886,-0.23162,-0.071873,0.3261,1,2,0.59753,99.611,0.6,0,0,-0.39578,0.037575,0.053979,0.74063,-0.4311,0.14315,-0.029183,-0.026131,0.050927,0.48924,-0.45848,-0.094417,0.23859,0.38819,-0.44811,-4.9691,1.3702,-2.3359,0.33685,0.32286,-0.71092,0.9902,-1.1812,0.64244,-3.421,-4.2674,2.5022,2.9375,-2.1666,-3.3514,-3.9796,0.52689,-0.6326,-4.1143,9.3023,-3.5349,-0.072778,0.13694,-0.049688,0.007715,-0.25306,0.19802,0.0038061,0.035024,0.015102,0.36695,-0.34665,0.018799,9,9,4342,15,1003.9
15.757,0.0018548,0.010656,4349,0.025896,2.8931,0.0237,0.044591,-0.43064,0.34795,-0.24049,1,2,0.63999,99.609,0.6,0,0,-0.38472,0.037194,0.03109,0.70668,-0.37215,-0.08025,-0.045205,-0.023461,0.02079,0.52968,-0.45672,-0.087697,0.92875,-0.14083,-0.65579,0.62055,2.019,-4.7407,-0.85799,-0.1303,-0.99651,1.6357,0.60289,0.18344,-1.6058,-1.1727,0.74762,-4.1846,-6.9795,2.655,-5.2363,3.2784,-1.3917,-2.1232,11.561,-3.4771,0.025385,0.22824,-0.15466,0.17641,-0.079543,0.069026,-0.1031,0.032822,-0.029396,0.48269,-0.43102,0.029203,10,10,4351,15,1003.9
15.771,0.0050738,0.010953,4355,0.014059,3.8273,0.020693,0.063517,-0.29483,0.94823,-0.15589,1,2,0.67444,99.616,0.6,0,0,-0.38434,0.040627,0.026131,0.71584,-0.39256,-0.035929,-0.063897,-0.021935,0.0085832,0.55409,-0.42594,-0.099461,0.020619,0.27323,-0.50099,0.64378,-1.3808,2.8449,-1.509,0.12548,-1.0266,2.0247,2.465,-0.69951,2.7229,0.83282,-1.2997,-4.044,-6.0889,1.4173,-6.9119,3.5348,-1.3687,-0.3781,13.76,-2.9314,0.10081,0.18429,-0.10155,0.28809,0.0026667,0.16074,-0.21569,0.011753,-0.0425,0.47663,-0.44027,-0.0004804,10,10,4358,15,1003.9
15.798,0.0014126,0.010833,4365,0.026522,4.6174,0.0044496,0.080466,-0.63928,0.75066,-0.81099,1,2,0.72032,99.615,0.6,0,0,-0.37366,0.047875,0.013924,0.70935,-0.52874,0.084903,-0.12913,-0.016213,-0.0051499,0.65061,-0.31049,0.036504,0.78469,-0.31891,-0.097304,0.0097686,-4.1323,-0.74509,-2.0507,-0.063369,0.10174,3.2719,3.1577,5.4316,2.304,0.016996,-2.0187,-12.581,-1.5667,0.19019,-1.4662,1.1388,-0.31055,-2.065,11.851,-0.18787,0.1789,0.1263,-0.067436,0.30435,0.067806,0.10058,-0.31269,0.054628,-0.085966,0.52568,-0.35005,0.074539,10,10,4367,15,1003.9
15.81,0.0012827,0.0030065,4372,0.012308,5.0662,-0.0084573,0.088018,-0.81954,0.57522,-1.0413,1,2,0.76033,99.61,0.6,0,0,-0.34352,0.052071,-0.0051499,0.68303,-0.58635,0.050894,-0.16384,-0.0078202,0.0013352,0.70478,-0.27325,0.077935,1.7797,0.45644,-1.2204,-1.7961,-2.8171,-0.58212,-1.8839,0.50402,0.37734,2.9653,1.7598,1.5688,1.3265,3.6813,-0.51758,-18.771,1.8248,3.8091,0.48872,1.6147,-0.080513,-0.78527,-4.7049,-1.6147,0.21222,0.091365,-0.028218,0.30221,0.081224,0.10686,-0.33725,0.070223,-0.10533,0.5106,-0.33697,0.067761,10,10,4372,15,1003.9
15.83,0.0012473,0.0096317,4379,0.020685,5.4913,-0.03119,0.090638,-0.84115,0.10693,-1.1988,1,2,0.78843,99.554,0.6,0,0,-0.29202,0.063134,-0.0093462,0.62047,-0.56231,0.10045,-0.19055,0.0047684,0.012016,0.75551,-0.31928,0.010434,2.682,0.24889,0.15684,-3.0765,2.2904,4.3134,-1.2148,0.72657,0.50636,2.4391,-3.0578,-4.0747,-0.90762,11.868,-8.9771,-8.0845,0.82992,-0.16279,-3.8399,1.1048,-1.3457,0.20359,-7.8632,0.32363,0.19847,0.021627,0.0030956,0.22363,0.030174,0.058936,-0.30031,0.10453,-0.1081,0.45221,-0.27981,0.03178,15,15,4381,15,1003.9
