t_s,L_Ankle_Roll_ser,L_Ankle_Roll_par,R_Ankle_Roll_ser,R_Ankle_Roll_par
1.73144,0.0149535,0.0852598,-0.0046306,0.0791562
1.73343,0.0149535,0.0852598,-0.0046306,0.0791562
1.73543,0.0149535,0.0852598,-0.0046306,0.0791562
1.7375,0.0149535,0.0852598,-0.0046306,0.0791562
1.73945,0.0149535,0.0852598,-0.0046306,0.0791562
1.74146,0.0149535,0.0852598,-0.0046306,0.0791562
1.74523,0.0153447,0.0852598,-0.0046306,0.0791562
1.74614,0.015345,0.0852598,-0.0046306,0.0791562
1.74744,0.0149532,0.0852598,-0.0046306,0.0791562
1.74959,0.0153447,0.0852598,-0.0046306,0.0791562
1.75148,0.0149532,0.0852598,-0.0046306,0.0791562
1.75372,0.0153447,0.0852598,-0.0046306,0.0791562
1.75555,0.0149532,0.0852598,-0.0046306,0.0791562
1.7584,0.0149535,0.0852598,-0.0046306,0.0791562
1.76101,0.0149535,0.0852598,-0.0046306,0.0791562
1.76152,0.0149535,0.0852598,-0.0046306,0.0791562
1.76327,0.0149535,0.0852598,-0.0046306,0.0791562
1.76525,0.0149535,0.0852598,-0.0046306,0.0791562
1.76727,0.0149535,0.0852598,-0.0046306,0.0791562
1.76927,0.0149535,0.0852598,-0.0046306,0.0791562
1.77126,0.0149535,0.0852598,-0.0046306,0.0791562
1.77324,0.0149535,0.0852598,-0.0046306,0.0791562
1.77524,0.0149535,0.0852598,-0.0046306,0.0791562
1.77721,0.0149535,0.0852598,-0.0046306,0.0791562
1.77922,0.0149535,0.0852598,-0.0046306,0.0791562
1.78121,0.0149535,0.0852598,-0.0046306,0.0791562
1.78334,0.0149535,0.0852598,-0.0046306,0.0791562
1.78551,0.0149535,0.0852598,-0.0046306,0.0791562
1.7873,0.0149535,0.0852598,-0.0046306,0.0791562
1.78929,0.0149535,0.0852598,-0.0046306,0.0791562
1.7913,0.0149535,0.0852598,-0.0046306,0.0791562
1.79329,0.0149535,0.0852598,-0.0046306,0.0791562
1.79533,0.0149535,0.0852598,-0.0046306,0.0791562
1.79732,0.0149535,0.0852598,-0.0046306,0.0791562
1.7993,0.0149535,0.0852598,-0.0046306,0.0791562
1.8013,0.0149535,0.0852598,-0.0046306,0.0791562
1.80333,0.0149535,0.0852598,-0.0046306,0.0791562
1.80531,0.0149535,0.0852598,-0.0046306,0.0791562
1.80733,0.0149535,0.0852598,-0.0046306,0.0791562
1.80934,0.0149535,0.0852598,-0.0046306,0.0791562
1.81136,0.0149535,0.0852598,-0.0046306,0.0791562
1.81334,0.0149535,0.0852598,-0.0046306,0.0791562
1.81533,0.0149535,0.0852598,-0.0046306,0.0791562
1.81733,0.0149535,0.0852598,-0.0046306,0.0791562
1.81934,0.0149535,0.0852598,-0.0046306,0.0791562
1.82133,0.0149535,0.0852598,-0.0046306,0.0791562
1.82339,0.0149535,0.0852598,-0.0046306,0.0791562
1.82536,0.0149535,0.0852598,-0.0046306,0.0791562
1.82734,0.0149535,0.0852598,-0.0046306,0.0791562
1.82934,0.0149535,0.0852598,-0.0046306,0.0791562
1.83136,0.0149535,0.0852598,-0.0046306,0.0791562
1.83338,0.0149535,0.0852598,-0.0046306,0.0791562
1.83536,0.0149535,0.0852598,-0.0046306,0.0791562
1.83737,0.0149535,0.0852598,-0.0046306,0.0791562
1.83939,0.0145615,0.0852598,-0.0046306,0.0791562
1.84135,0.0149532,0.0852598,-0.0046306,0.0791562
1.84339,0.0145615,0.0852598,-0.0046306,0.0791562
1.84536,0.0145618,0.0852598,-0.0046306,0.0791562
1.84737,0.0145618,0.0852598,-0.0046306,0.0791562
1.84942,0.0145618,0.0852598,-0.0046306,0.0791562
1.85389,0.0145618,0.0852598,-0.0046306,0.0791562
1.85454,0.0145618,0.0852598,-0.0046306,0.0791562
1.85539,0.0145618,0.0852598,-0.0046306,0.0791562
1.85776,0.0145618,0.0852598,-0.0046306,0.0791562
1.85943,0.0145618,0.0852598,-0.0046306,0.0791562
1.86141,0.0145618,0.0852598,-0.0046306,0.0791562
1.86344,0.0141696,0.0852598,-0.0046306,0.0791562
1.86542,0.0141699,0.0852598,-0.0046306,0.0791562
1.86764,0.0141699,0.0852598,-0.0046306,0.0791562
1.86944,0.0141699,0.0852598,-0.0046306,0.0791562
1.87142,0.0141699,0.0852598,-0.0046306,0.0791562
1.87343,0.0141699,0.0852598,-0.0046306,0.0791562
1.87543,0.0141699,0.0852598,-0.0046306,0.0791562
1.87742,0.0141699,0.0852598,-0.0046306,0.0791562
1.87944,0.0141699,0.0852598,-0.0046306,0.0791562
1.88144,0.0141699,0.0852598,-0.0046306,0.0791562
1.88344,0.0141699,0.0852598,-0.0046306,0.0791562
1.88544,0.0141699,0.0852598,-0.0046306,0.0791562
1.88744,0.0141699,0.0852598,-0.0046306,0.0791562
1.88947,0.0141699,0.0852598,-0.0046306,0.0791562
1.89149,0.0141699,0.0852598,-0.0046306,0.0791562
1.89348,0.0141699,0.0852598,-0.0046306,0.0791562
1.89551,0.0141699,0.0852598,-0.0046306,0.0791562
1.89748,0.0141699,0.0852598,-0.0046306,0.0791562
1.89951,0.0141699,0.0852598,-0.0046306,0.0791562
1.90145,0.0141699,0.0852598,-0.0046306,0.0791562
1.90351,0.0141699,0.0852598,-0.0046306,0.0791562
1.90552,0.0141699,0.0852598,-0.0046306,0.0791562
1.90747,0.0141699,0.0852598,-0.0046306,0.0791562
1.90948,0.0141699,0.0852598,-0.0046306,0.0791562
1.91149,0.0141699,0.0852598,-0.0046306,0.0791562
1.91351,0.0141699,0.0852598,-0.0046306,0.0791562
1.91549,0.0137775,0.0852598,-0.0046306,0.0791562
1.91747,0.0137779,0.0852598,-0.0046306,0.0791562
1.91948,0.0137779,0.0852598,-0.0046306,0.0791562
1.9215,0.0137779,0.0852598,-0.0046306,0.0791562
1.92353,0.0137779,0.0852598,-0.0046306,0.0791562
1.92549,0.0137779,0.0852598,-0.0046306,0.0791562
1.9275,0.0137779,0.0852598,-0.0046306,0.0791562
1.92955,0.0137779,0.0852598,-0.0046306,0.0791562
1.93158,0.0133853,0.0852598,-0.0046306,0.0791562
1.93358,0.0133857,0.0852598,-0.0046306,0.0791562
1.93555,0.0133857,0.0852598,-0.0046306,0.0791562
1.93754,0.0133857,0.0852598,-0.0046306,0.0791562
1.93955,0.0133857,0.0852598,-0.0046306,0.0791562
1.94155,0.0133857,0.0852598,-0.0046306,0.0791562
1.94354,0.012993,0.0852598,-0.0046306,0.0791562
1.94556,0.0129933,0.0852598,-0.0046306,0.0791562
1.94754,0.0129933,0.0852598,-0.0046306,0.0791562
1.94955,0.0129933,0.0852598,-0.0046306,0.0791562
1.95158,0.0126004,0.0852598,-0.0046306,0.0791562
1.95356,0.0126007,0.0852598,-0.0046306,0.0791562
1.95556,0.0126007,0.0852598,-0.0046306,0.0791562
1.95808,0.0126007,0.0852598,-0.0046306,0.0791562
1.95962,0.0126007,0.0852598,-0.0046306,0.0791562
