t_s,low_state_age_s,policy_state_age_s,low_state_seq,tick_dt_s,tilt_deg,roll,pitch,gx,gy,gz,walking,gait_freq,gait_process,pub_hz,goal_x,goal_y,heading_err,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq7,dq8,dq9,dq10,dq11,tau0,tau1,tau2,tau3,tau4,tau5,tau6,tau7,tau8,tau9,tau10,tau11,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11,gate_rej_legs,gate_rej_total,gate_samples,gate_dt_p99_ms,gate_dt_max_ms
37.517,0.0056882,0.010179,13021,0.013528,4.726,0.009312,0.081959,-0.0068688,-0.11126,0.70496,0,0,0,99.776,0,0,0,-0.17224,-0.011254,0.052453,0.38624,-0.0090076,0.017347,-0.081445,0.011254,-0.035668,0.31949,0.033997,-0.0066129,-0.5579,0.11015,-0.044788,0.95121,1.8315,0.27375,0.52313,-0.014259,0.59328,0.12611,2.3311,0.026103,-3.9796,0.62886,0.057509,-2.065,0.083202,0.8619,6.6326,-4.011,0.080513,6.2945,8.9841,-0.37429,0.085077,-0.013521,0.066218,-0.07568,0.33527,0.064089,0.18732,-0.021189,-0.062291,-0.13448,0.41318,0.026409,0,0,13023,10,1009.4
37.542,0.0012757,0.0097868,13029,0.0253,4.3372,0.0064922,0.07542,-0.14061,-0.24145,0.82809,0,0,0,99.778,0,0,0,-0.17147,-0.0085832,0.052071,0.39578,0.011926,0.037306,-0.068475,0.0097276,-0.030709,0.32483,0.060965,-0.0099444,0.086701,0.024914,0.025889,0.30102,0.8739,1.0215,0.73798,-0.097041,0.17853,0.2724,1.1868,-0.25124,-1.6058,0.42491,0.14952,-3.6923,-1.394,-0.091149,5.2363,-3.2051,-1.7286,1.9486,6.2923,0.19574,0.10404,0.019074,0.058735,-0.046226,0.43985,0.066305,0.1763,0.0049625,-0.059363,-0.096919,0.42384,0.0052092,0,0,13031,10,1009.4
37.561,0.0015712,0.0094974,13037,0.019086,3.5394,0.001055,0.061765,-0.32742,-0.62918,0.87554,0,0,0,99.78,0,0,0,-0.15774,-0.011635,0.053597,0.38319,0.014529,0.059955,-0.043297,0.010109,-0.042153,0.32597,0.067057,-0.0084915,0.654,-0.10512,0.052478,-0.72798,-0.0059448,0.84869,1.2118,0.062,-0.66276,-0.026006,0.19501,0.15436,-2.5832,-0.25495,0.90864,-2.9375,-0.80324,-0.74112,3.1418,-3.7179,-1.1157,-0.49443,5.263,0.26085,0.13267,0.051008,0.043923,-0.077747,0.4717,0.040678,0.16064,0.041336,-0.072639,-0.10431,0.32228,-0.0061499,0,0,13039,10,1009.4
37.583,0.0051165,0.017235,13044,0.022066,2.5308,-0.0046317,0.043928,-0.32316,-0.79829,1.0298,0,0,0,99.777,0,0,0,-0.14363,-0.010109,0.054742,0.35801,0.0058157,0.059782,-0.022698,0.013924,-0.057412,0.31872,0.059445,-0.0025412,0.75151,0.088461,0.07168,-1.4926,-0.5446,-0.1876,1.1183,0.22632,-0.81549,-0.51533,-0.60945,0.40595,-1.8851,0.32293,0.58659,-3.9736,-0.89513,-1.0569,-0.62835,-2.7656,0.56359,-1.5996,3.0349,0.77261,0.11243,0.048445,0.053568,-0.16112,0.31652,0.032328,0.1881,0.050993,-0.069172,-0.16434,0.2516,0.0049181,0,0,13049,10,1009.4
37.597,0.0013566,0.0054681,13054,0.013767,2.1331,-0.0099031,0.03589,-0.28597,-0.44761,0.90482,0,0,0,99.778,0,0,0,-0.11387,-0.010872,0.058175,0.32177,-0.019245,0.027615,0.0055314,0.016976,-0.070764,0.29507,0.022322,0.0092191,1.123,-0.15535,0.20287,-1.1501,-0.98076,-1.1313,1.1181,-0.033046,-0.29105,-0.86096,-1.3251,0.39117,-3.1418,0.62886,-0.14952,0.49443,5.9743,0.61751,-3.421,-2.0905,0.6326,-1.4251,7.97,0.29169,0.19749,0.0643,0.047239,-0.16622,0.46422,-0.027893,0.18351,0.068397,-0.11476,-0.13243,0.28997,-0.014205,0,0,13056,10,1009.4
37.624,0.0013977,0.011034,13062,0.026694,2.8404,-0.011633,0.048192,-0.14987,0.37043,0.84668,0,0,0,99.773,0,0,0,-0.097848,-0.016976,0.065042,0.30652,-0.04835,0.052634,0.020027,0.013542,-0.071908,0.27943,-0.0016609,0.015876,0.61972,-0.21556,0.25215,-0.71651,-1.4859,1.6379,0.55462,-0.12076,-0.058715,-0.77106,-1.1791,0.28838,-0.48872,1.7506,0.97766,2.414,10.443,0.063712,-3.8399,-1.5127,1.0467,0.84344,9.2391,-0.15977,0.30625,0.058136,0.030722,-0.10678,0.72791,-0.025169,0.15335,0.052687,-0.1435,-0.071395,0.361,-0.015657,0,0,13065,10,1009.4
37.643,0.0057625,0.015396,13069,0.018817,3.8601,-0.011115,0.06645,-0.012362,0.80217,0.76768,0,0,0,99.778,0,0,0,-0.097848,-0.01812,0.063134,0.30385,-0.058851,0.077639,0.020409,0.011635,-0.067712,0.27333,-0.014771,0.015262,-0.059926,-0.080265,-0.1453,-0.23304,-0.71264,1.6953,0.022399,-0.093778,0.29649,-0.41757,-0.91458,-0.015037,1.4662,3.6081,0.21853,3.833,12.772,0.16824,-3.421,-1.0028,0.35656,1.716,9.4015,-0.52924,0.35825,0.053958,0.0011318,-0.056125,0.82438,0.048695,0.09791,0.035282,-0.13819,-0.045906,0.33578,0.0033219,0,0,13072,10,1009.4
37.665,0.0015267,0.012589,13077,0.02205,4.84,-0.012393,0.083562,-0.086184,1.0184,0.51341,0,0,0,99.769,0,0,0,-0.1112,-0.021172,0.056268,0.30041,-0.064063,0.077904,0.0082017,0.015068,-0.065805,0.276,-0.029974,0.0045227,-0.66788,-0.17739,-0.34854,-0.2219,-0.22653,-0.26427,-0.70277,0.16882,-0.025411,0.19299,-0.83056,-0.61251,5.0966,6.7281,-0.28755,2.5303,14.954,-1.6134,-3.421,0.9348,-0.14952,1.367,4.9287,-0.56908,0.37997,0.075322,-0.014389,-0.046451,0.86309,0.042257,0.069699,0.057569,-0.14391,-0.042243,0.25617,-0.012537,0,0,13081,10,1009.4
37.676,0.0050997,0.0098217,13084,0.011587,5.5661,-0.012932,0.096284,-0.067555,0.89223,0.2572,0,0,0,99.78,0,0,0,-0.11997,-0.023079,0.050164,0.29355,-0.069229,0.067499,-0.0051499,0.020027,-0.068856,0.27905,-0.038709,-0.0010127,-0.53813,-0.15464,-0.40104,-0.52076,-0.39958,-0.69101,-0.87512,0.36391,-0.16671,0.17551,-0.59247,-0.39192,7.1804,7.2471,0.28755,-0.84344,12.232,-2.6169,0.069817,1.0708,-1.0927,-0.84344,2.4852,-0.23789,0.35323,0.074552,-0.0082667,-0.04571,0.82079,0.044354,0.070019,0.043168,-0.13741,-0.069499,0.22581,-0.0077289,0,0,13086,10,1009.4
37.706,0.0015081,0.01008,13093,0.02973,6.0463,-0.01616,0.10429,-0.12133,0.39871,-0.11016,0,0,0,99.776,0,0,0,-0.098611,-0.022316,0.044442,0.24701,-0.065492,0.034327,-0.013924,0.029946,-0.090982,0.27638,-0.035556,-0.0085442,0.96665,0.035602,-0.15488,-2.1043,0.12393,-0.84402,-0.036296,0.14611,-1.0286,-0.078372,0.22423,-0.16803,5.7948,8.6495,0.6556,2.3558,13.724,-3.5061,-0.76799,2.5092,-0.58659,-0.78527,3.5023,-0.44931,0.35906,0.079502,-0.0067664,-0.0607,0.78612,0.053027,0.082004,0.046198,-0.13329,-0.09493,0.21656,0.0054695,0,0,13095,10,1009.4
37.725,0.0050743,0.018769,13097,0.019251,6.0887,-0.019097,0.10454,-0.14652,0.26978,-0.14727,0,0,0,99.779,0,0,0,-0.084497,-0.022316,0.043297,0.22908,-0.063346,0.032163,-0.013542,0.03109,-0.1009,0.27638,-0.033238,-0.0076172,1.5151,-0.0026021,-0.14689,-2.187,0.28501,-0.42778,0.035954,0.1531,-1.1838,-0.0035842,0.29643,0.015523,8.9917,8.5374,0.14952,5.9429,20.431,-3.1875,-2.0247,1.8526,-0.42557,1.7741,4.3849,-0.26713,0.38804,0.082821,-0.015163,-0.072919,0.83788,0.043987,0.059221,0.051155,-0.14585,-0.083401,0.19805,0.0034206,0,0,13102,10,1009.4
37.737,0.0058688,0.010913,13104,0.011625,5.8599,-0.019536,0.1004,-0.10518,-0.067975,-0.38099,0,0,0,99.782,0,0,0,-0.047112,-0.022698,0.035668,0.18711,-0.034569,0.036594,-0.014687,0.032998,-0.12608,0.28744,-0.017776,-0.0058337,1.7572,-0.015563,-0.45281,-2.0744,1.5071,0.50896,-0.1581,0.017513,-1.1296,0.66681,0.78119,0.19469,13.002,7.4325,-1.2307,14.384,27.187,-2.1654,-5.6552,0.76484,0.19553,2.3558,4.5489,-0.090917,0.39409,0.074357,-0.022573,-0.090737,0.79338,0.047868,0.046913,0.047308,-0.13895,-0.11211,0.15938,0.016346,0,0,13106,10,1009.4
37.774,0.0014239,0.021908,13113,0.036942,4.2733,-0.011145,0.073747,0.1792,-0.55308,-0.68057,0,0,0,99.778,0,0,0,-0.010109,-0.023079,0.01545,0.15965,0.015344,0.062079,-0.02842,0.028038,-0.13828,0.31872,-0.0025167,0.00040593,1.6205,-0.017893,-0.95393,-0.99511,2.543,0.95809,-0.686,-0.29383,-0.46001,1.6057,0.66663,0.23949,14.073,8.6495,-0.057509,18.293,27.7,-0.50626,-6.6326,3.1319,0.21853,0.3781,1.6293,-0.2704,0.31398,0.048044,-0.011763,-0.13563,0.63021,0.11175,0.079908,0.023182,-0.096504,-0.15054,0.17058,0.048692,0,0,13119,10,1009.4
37.787,0.0016054,0.011575,13122,0.013653,3.1091,-0.0036187,0.054143,0.47531,-1.0084,-0.96269,0,0,0,99.782,0,0,0,0.018502,-0.024224,-0.0074388,0.16918,0.098255,0.063982,-0.052071,0.020409,-0.13714,0.37175,0.0055108,-0.003975,0.74368,-0.042417,-0.56517,0.82668,2.6278,-0.45617,-0.84557,-0.07863,0.23259,1.2579,0.14676,-0.24844,10.803,9.6209,0.74762,13.444,20.258,-0.4472,-5.3759,1.8866,-0.10352,-5.3099,-1.5701,-0.10986,0.17926,-0.024384,0.014238,-0.22654,0.32759,0.079091,0.16014,0.0044418,-0.060431,-0.19815,0.1681,0.081779,0,0,13125,10,1009.4
37.796,0.0014952,0.0045198,13127,0.0086314,2.2768,0.0014911,0.03971,0.48021,-1.1185,-1.0699,0,0,0,99.776,0,0,0,0.025368,-0.024987,-0.011254,0.18025,0.12235,0.056818,-0.058175,0.021553,-0.13523,0.37785,0.0052614,-0.0043638,0.67585,-0.065196,-0.39659,1.0699,2.4451,-0.6251,-0.61132,0.11118,0.18096,0.68243,-0.0025319,-0.068106,10.674,9.7703,0.54059,12.111,17.726,-0.072209,-5.5155,1.5807,0.40256,-5.4506,-1.2097,0.042371,0.17987,-0.062254,0.024347,-0.26991,0.17289,0.035717,0.17457,-0.02022,-0.10132,-0.23732,0.077699,0.1083,0,0,13128,10,1009.4
