t_s,low_state_age_s,policy_state_age_s,low_state_seq,tick_dt_s,tilt_deg,roll,pitch,gx,gy,gz,walking,gait_freq,gait_process,pub_hz,goal_x,goal_y,heading_err,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq7,dq8,dq9,dq10,dq11,tau0,tau1,tau2,tau3,tau4,tau5,tau6,tau7,tau8,tau9,tau10,tau11,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11,gate_rej_legs,gate_rej_total,gate_samples,gate_dt_p99_ms,gate_dt_max_ms
31.003,0.0015049,0.023095,12429,0.028748,3.1872,0.023881,0.050246,0.077418,-0.86179,0.26909,1,2,0.54906,98.334,0.6,0,0,-0.42401,0.0078202,0.06733,0.90276,-0.5304,-0.07402,-0.059319,-0.039483,0.073816,0.41562,-0.39717,-0.10356,-0.7656,0.1536,0.21635,1.8968,-0.35029,-5.7003,0.77026,-0.6935,-0.2398,1.5813,-0.71857,0.89186,-0.34908,4.1941,-1.9945,-13.522,3.33,0.72012,0.76799,-6.9876,0.6556,0.26176,4.2117,-2.3535,-0.10791,0.1333,-0.10389,0.13524,-0.40739,0.038257,-0.049174,0.041458,0.0073883,0.37091,0.075103,-0.070563,0,0,12432,10,1011.1
31.021,0.0016077,0.012567,12435,0.018468,2.6456,0.01966,0.041782,-0.20674,-0.74641,0.2256,1,2,0.60715,98.322,0.6,0,0,-0.39311,0.019646,0.063134,0.78794,-0.46172,0.081367,-0.029946,-0.04139,0.074197,0.49649,-0.42092,-0.067457,0.92739,0.11937,-0.12354,-3.8837,2.2334,7.5062,0.56165,0.19165,0.11662,1.6121,-0.26952,0.75323,-3.8399,-0.18696,0.6556,-2.1232,-0.55562,-2.9161,-0.34908,-4.707,2.2846,-3.6923,11.45,-4.2419,-0.10337,0.082989,-0.03645,0.029262,-0.32312,0.20542,-0.016106,0.039896,0.016596,0.37996,-0.37372,-0.0096643,0,0,12438,10,1011.1
31.032,0.0013277,0.010883,12440,0.011211,2.2865,0.015009,0.036979,-0.39672,-0.705,0.38326,1,2,0.63247,98.334,0.6,0,0,-0.38434,0.021935,0.062371,0.74254,-0.44021,0.11902,-0.027276,-0.037194,0.074197,0.51022,-0.42653,-0.059705,0.87134,0.24144,-0.11296,-4.158,2.0766,3.8548,0.32337,0.36123,0.010609,1.3767,-0.50241,0.71611,-2.4436,-3.0586,1.7286,-0.95978,-2.8967,-2.9655,-1.8851,-3.8645,0.67861,-5.1692,11.072,-4.4036,-0.10415,0.083834,-0.027194,-0.0050024,-0.30891,0.20765,0.024246,0.056585,0.00040759,0.38296,-0.38023,0.014481,0,0,12442,10,1011.1
31.049,0.0016699,0.0095455,12446,0.017171,1.8446,0.0079639,0.031193,-0.34939,-0.46807,-0.24464,1,2,0.67017,98.324,0.6,0,0,-0.3481,0.01812,0.060464,0.71965,-0.3878,0.07063,-0.020409,-0.042153,0.073053,0.5293,-0.4344,-0.075882,1.888,-0.50418,0.12411,-0.19856,2.0564,-3.4829,0.32991,-0.46041,-0.041069,0.7757,-0.19887,-1.1331,-3.0021,2.2265,-1.3917,-6.2242,-2.7876,0.22632,-6.9217,-0.39092,-3.42,-4.3956,10.376,-3.5278,0.01259,0.12296,-0.092614,0.079172,-0.22526,0.035625,-0.060957,0.033878,-0.016057,0.44991,-0.3983,0.058839,3,3,12447,10,1011.1
31.072,0.0021963,0.012242,12452,0.02244,2.3442,0.0099013,0.039698,-0.11218,0.27139,-0.050352,1,2,0.71057,98.334,0.6,0,0,-0.34161,0.013161,0.056649,0.71508,-0.40581,-0.026413,-0.024987,-0.045968,0.062371,0.53349,-0.41521,-0.11172,0.56611,-0.37486,-0.23555,-0.42414,-1.2276,-0.44694,-0.32102,-0.29871,-0.83509,0.39456,1.3598,-2.4456,0.76799,1.8526,-3.0582,-6.2945,-4.3837,2.5563,-6.9119,0.73084,-1.9703,-3.7626,10.958,-2.7691,0.054911,0.13663,-0.07937,0.15992,-0.21253,0.057713,-0.11267,0.0058862,-0.0042818,0.41007,-0.41116,0.031696,3,3,12455,10,1011.1
31.092,0.0019013,0.010663,12460,0.019755,4.2928,-0.0056649,0.07471,-0.57313,1.1614,-0.40922,1,2,0.75172,98.349,0.6,0,0,-0.33818,0.010872,0.020027,0.68379,-0.52488,0.083681,-0.088693,-0.026513,-0.0089647,0.59415,-0.31078,-0.10833,0.36396,-0.26254,-1.007,-0.24997,-2.5554,-3.4838,-2.3715,0.50104,-1.3138,2.3275,2.5118,1.6047,2.304,6.2092,-4.6226,-6.7868,-3.1205,-1.6621,-7.0515,3.6447,1.0007,2.9375,5.0236,-1.9482,0.16376,0.14284,-0.078883,0.27432,0.022783,0.05188,-0.21551,0.022742,-0.056453,0.43679,-0.34558,0.037365,5,5,12462,10,1011.1
31.112,0.0016103,0.013254,12466,0.020239,6.2592,-0.032093,0.10444,-0.81228,1.404,-0.49833,1,2,0.78745,98.346,0.6,0,0,-0.33894,0.01812,-0.0082017,0.6735,-0.55378,-0.0031711,-0.1276,-0.018502,-0.010872,0.6342,-0.27363,-0.010551,-0.076421,0.46036,-2.2186,-0.85969,-2.2256,-7.04,-3.117,0.66448,-0.23218,3.3341,3.0172,2.0209,3.5607,9.2099,-4.8481,-9.3105,-4.3874,0.70491,-4.5381,1.8186,1.1617,3.7626,3.384,-2.3168,0.1835,0.12584,-0.053007,0.30511,0.080681,0.063841,-0.27787,0.057381,-0.084536,0.44228,-0.33159,0.065433,5,5,12470,10,1011.1
31.142,0.0014767,0.023762,12474,0.030684,8.1129,-0.064154,0.12632,-0.96924,1.0535,-1.1725,1,2,0.8274,98.356,0.6,0,0,-0.31415,0.026513,-0.0059129,0.62009,-0.54118,0.076978,-0.20466,0.013161,0.003624,0.75322,-0.30286,-0.026785,1.2104,0.058831,0.88498,-2.3896,2.6838,8.0661,-2.1526,1.2401,0.39772,3.6799,-3.423,-0.65681,-2.4436,6.4686,-3.7207,-15.247,-3.3978,1.1996,5.9344,1.4787,-0.6096,-1.3088,-6.9944,1.2615,0.24627,0.03252,-0.026999,0.26882,0.12725,-0.002138,-0.325,0.085796,-0.10895,0.43569,-0.23565,0.044611,10,10,12481,10,1011.1
31.16,0.005063,0.016722,12483,0.017196,8.4356,-0.074318,0.12721,-0.60363,0.29438,-0.81561,1,2,0.88293,98.361,0.6,0,0,-0.26074,0.025368,-0.013542,0.57736,-0.47932,0.24963,-0.24472,0.037194,0.0013352,0.81273,-0.45208,0.024192,2.6948,0.23994,-0.92223,-1.7801,2.0405,-5.1696,-1.6781,0.89228,-0.14687,2.5464,-7.2504,4.0078,3.421,6.9876,-2.8407,-2.1232,-3.2173,-5.9399,-1.8851,-0.79883,-0.72462,-1.0761,-0.81476,0.70304,0.24162,0.14225,-0.024608,0.22677,0.31369,0.0046615,-0.31208,0.046892,-0.10803,0.46467,-0.22487,0.13198,11,11,12487,10,1011.1
31.174,0.0015024,0.013481,12489,0.013837,8.5918,-0.078629,0.12782,-0.4436,0.10552,-0.91953,1,2,0.91025,98.342,0.6,0,0,-0.21382,0.049783,-0.044823,0.5415,-0.4433,0.1167,-0.26188,0.041009,-0.004387,0.84821,-0.57964,0.11911,2.4503,1.4939,-1.6778,-2.0169,3.748,-13.862,-0.81396,0.2445,-0.31673,1.8912,-6.6919,5.5975,3.2814,4.0842,0.54059,2.2395,-2.4178,1.3592,-4.1192,-3.8645,0.95465,-6.5055,5.5893,-2.8186,0.21542,0.17079,-0.020989,0.1959,0.25682,0.075591,-0.26596,0.0066002,-0.07779,0.43894,-0.2489,0.23437,15,15,12491,10,1011.1
