pos_err_m,heading_err_deg,final_speed_mps,category,start_dist_m,duration_s,min_dist_m,along_err_m,cross_err_m
0.0288,5.9775,0.0665,lateral,0.7101,5.0800,0.0153,-0.0276,0.0082
0.0297,0.9172,0.0595,combined,1.0111,5.1000,0.0292,-0.0296,0.0017
0.0170,5.1747,0.0207,turn,0.0000,4.8400,0.0000,nan,nan
0.0322,2.4201,0.0305,combined,1.8472,5.1600,0.0165,0.0318,0.0048
0.0541,3.8139,0.0244,lateral,1.4010,5.1600,0.0541,-0.0540,0.0034
0.0272,9.6496,0.0663,lateral,0.1621,5.1800,0.0194,0.0250,0.0107
0.0255,8.9091,0.0082,turn,0.0000,5.2000,0.0000,nan,nan
0.0047,5.5961,0.0394,straight,1.9252,5.2200,0.0047,-0.0003,0.0047
0.0500,14.8685,0.0186,combined,0.8800,5.2200,0.0059,0.0413,0.0282
0.0249,0.8742,0.0420,lateral,0.7240,5.2400,0.0087,0.0076,0.0237
0.0731,4.6674,0.0348,combined,2.0102,5.2600,0.0084,0.0687,0.0249
0.0333,8.7664,0.0088,combined,1.4622,5.2600,0.0321,-0.0036,0.0331
0.0801,3.2310,0.0492,combined,2.1056,5.2800,0.0801,-0.0705,0.0380
0.0723,1.8001,0.0171,straight,0.9922,5.2800,0.0669,-0.0647,0.0324
0.0350,1.2350,0.0717,combined,1.0624,5.3000,0.0222,-0.0349,0.0015
0.0557,1.5545,0.0274,straight,0.7416,5.3200,0.0368,0.0111,0.0546
0.0567,11.1784,0.0618,combined,1.2033,5.3200,0.0427,0.0507,0.0254
0.0584,2.1850,0.0696,combined,1.4924,5.4200,0.0584,0.0468,0.0349
0.0130,7.8709,0.0441,lateral,1.3074,5.4200,0.0130,0.0130,0.0004
0.0613,14.1512,0.0336,lateral,0.8076,5.4000,0.0613,-0.0554,0.0261
0.0700,1.7992,0.0587,lateral,0.6279,5.2600,0.0556,0.0470,0.0520
0.0262,5.5746,0.0377,straight,0.6332,5.5400,0.0191,-0.0237,0.0111
0.0394,8.6170,0.0268,combined,1.5059,5.5600,0.0340,0.0110,0.0379
0.0533,0.0311,0.0505,straight,0.9632,5.5800,0.0415,0.0362,0.0392
0.0252,12.6268,0.0267,turn,0.0000,5.5800,0.0000,nan,nan
0.0576,10.2331,0.0175,straight,0.5245,5.6000,0.0540,-0.0342,0.0463
0.0492,10.2862,0.0199,lateral,0.9998,5.6600,0.0427,-0.0362,0.0333
0.0197,3.6148,0.0664,combined,0.9143,5.7000,0.0068,0.0182,0.0076
0.0490,15.5176,0.0247,combined,1.7328,5.6800,0.0487,-0.0421,0.0250
0.0635,3.6938,0.0278,lateral,0.8265,5.7200,0.0540,-0.0566,0.0288
0.0597,10.2511,0.0329,straight,0.2329,5.7200,0.0273,-0.0565,0.0193
0.0207,4.1495,0.0507,combined,1.2067,5.7200,0.0012,0.0198,0.0058
0.0182,8.3553,0.0175,straight,1.0259,5.7400,0.0153,0.0057,0.0172
0.0521,10.4907,0.0243,straight,1.4441,5.7200,0.0377,-0.0225,0.0470
0.0603,5.6956,0.0256,turn,0.0000,5.7800,0.0000,nan,nan
