pos_err_m,heading_err_deg,final_speed_mps,category,start_dist_m,duration_s,min_dist_m,along_err_m,cross_err_m
0.1411,0.5521,0.0896,combined,1.0111,5.1000,0.0713,-0.0631,0.1262
0.0855,2.0589,0.0604,combined,1.8472,5.1600,0.0855,-0.0843,0.0144
0.1638,6.5065,0.0617,lateral,1.4010,5.1600,0.1580,-0.0565,0.1537
0.0355,5.1086,0.1628,combined,1.7301,5.1200,0.0320,-0.0242,0.0259
0.0633,2.8543,0.1490,combined,1.8520,5.1200,0.0586,-0.0563,0.0291
0.1437,0.9843,0.0109,lateral,0.1621,5.1800,0.0096,0.1198,0.0792
0.1133,2.7506,0.0563,turn,0.0000,5.2000,0.0000,nan,nan
0.1968,4.5255,0.0941,straight,1.9252,5.2200,0.1968,-0.1955,0.0225
0.1193,5.5618,0.0298,stand,0.0000,5.2200,0.0000,nan,nan
0.0071,2.6281,0.0625,lateral,0.7240,5.2400,0.0033,-0.0042,0.0057
0.0717,4.8284,0.0320,stand,0.0000,4.2200,0.0000,nan,nan
0.0931,1.3257,0.0487,combined,2.0102,5.2600,0.0931,-0.0874,0.0322
0.0422,0.2498,0.1898,combined,1.4622,5.2600,0.0336,-0.0235,0.0351
0.0533,2.4341,0.2003,straight,0.9922,5.2800,0.0275,-0.0069,0.0528
0.1491,0.7291,0.0190,combined,1.0624,5.3000,0.1481,-0.1419,0.0456
0.0457,1.7400,0.1446,straight,0.4539,4.3800,0.0396,0.0384,0.0248
0.1432,0.2680,0.0920,straight,0.7416,5.3200,0.0298,-0.1432,0.0020
0.0401,2.5805,0.0373,combined,1.2033,5.3200,0.0338,-0.0118,0.0383
0.0569,4.9383,0.0447,combined,1.5076,5.3000,0.0560,-0.0327,0.0465
0.0563,2.3332,0.1956,lateral,1.3074,5.4200,0.0114,0.0562,0.0032
0.0576,6.6270,0.1888,straight,1.7676,5.4200,0.0561,-0.0436,0.0377
0.0338,4.3815,0.1904,lateral,0.8076,5.4000,0.0157,0.0282,0.0186
0.0285,7.8990,0.0800,turn,0.0000,5.4800,0.0000,nan,nan
0.0073,0.8471,0.0463,straight,0.6332,5.5400,0.0029,0.0068,0.0026
0.0436,2.7375,0.1365,combined,1.5059,5.5600,0.0436,-0.0356,0.0251
0.0363,0.5818,0.2448,straight,0.3466,5.5600,0.0363,-0.0320,0.0171
0.0584,0.7891,0.1599,straight,0.9632,5.5800,0.0582,-0.0575,0.0105
0.0678,3.5813,0.1210,turn,0.0000,5.5800,0.0000,nan,nan
0.0860,1.4948,0.0544,lateral,0.9998,5.6600,0.0759,-0.0837,0.0199
0.0745,1.7100,0.0170,combined,2.0123,5.6800,0.0505,-0.0739,0.0093
0.0609,3.4912,0.0894,combined,0.9143,5.7000,0.0129,0.0592,0.0143
0.1206,1.0425,0.0588,lateral,0.8265,5.7200,0.1042,-0.1042,0.0607
0.1013,2.7871,0.1653,straight,0.2329,5.7200,0.0596,-0.1002,0.0150
0.1106,0.1088,0.2007,combined,1.2067,5.7200,0.1069,-0.1105,0.0043
0.0598,3.6457,0.0616,straight,1.0259,5.7400,0.0590,-0.0478,0.0359
0.0422,0.0190,0.0901,straight,1.4441,5.7200,0.0277,-0.0322,0.0272
0.0111,1.9171,0.1302,turn,0.0000,5.7800,0.0000,nan,nan
0.0247,1.0809,0.1431,lateral,0.5661,5.8000,0.0247,-0.0227,0.0096
0.0520,0.5628,0.0541,straight,0.0867,5.8200,0.0154,-0.0515,0.0072
0.0367,1.9661,0.2133,combined,0.7928,5.8000,0.0265,-0.0346,0.0124
0.1454,1.2362,0.0543,combined,0.5592,5.8400,0.0226,0.1453,0.0023
0.1044,1.3568,0.0310,lateral,0.8427,5.8400,0.0884,-0.1027,0.0188
0.0970,2.2372,0.0688,straight,1.9414,5.8200,0.0970,-0.0933,0.0266
0.1201,1.7097,0.1420,combined,1.7698,5.8600,0.0955,0.0003,0.1201
0.0325,4.3785,0.0486,combined,1.4622,5.8800,0.0009,0.0237,0.0221
0.0334,3.9074,0.0187,straight,0.0663,5.9000,0.0333,-0.0300,0.0146
0.0953,3.1539,0.0553,combined,1.4585,5.9200,0.0054,0.0953,0.0033
0.0873,0.9718,0.2681,lateral,1.1403,5.9200,0.0873,-0.0491,0.0722
0.0492,4.1060,0.0733,turn,0.0000,5.9200,0.0000,nan,nan
0.0190,3.1993,0.0416,straight,0.9544,5.9000,0.0036,-0.0012,0.0190
0.0544,2.0974,0.1616,turn,0.0000,5.9400,0.0000,nan,nan
0.0442,0.7635,0.0791,lateral,1.1082,5.9600,0.0421,-0.0441,0.0032
0.0834,1.3658,0.0383,stand,0.0000,5.9200,0.0000,nan,nan
0.0685,1.3924,0.1361,turn,0.0000,5.9600,0.0000,nan,nan
0.1630,0.5057,0.0483,lateral,1.0306,5.9800,0.1627,-0.0639,0.1499
0.0873,0.0702,0.2124,lateral,1.2548,5.9600,0.0656,0.0024,0.0872
0.1558,0.0193,0.1097,turn,0.0000,6.0200,0.0000,nan,nan
0.0761,5.0254,0.1938,straight,0.1738,6.0200,0.0750,0.0129,0.0750
0.1627,2.0672,0.0532,lateral,1.0605,6.0200,0.0125,0.1218,0.1079
0.1204,2.2881,0.2286,lateral,0.8624,6.0200,0.0992,-0.0366,0.1147
0.1341,2.3889,0.1986,combined,0.1634,6.0400,0.1172,-0.0174,0.1330
0.0994,0.7792,0.2198,turn,0.0000,6.0600,0.0000,nan,nan
0.1127,0.3387,0.0396,stand,0.0000,6.0400,0.0000,nan,nan
0.0333,2.1773,0.1486,lateral,1.2391,6.1000,0.0213,0.0210,0.0258
0.1228,1.4866,0.1663,straight,0.3250,6.1000,0.0034,0.1203,0.0244
0.0387,6.1038,0.0766,straight,1.9984,6.1000,0.0018,0.0351,0.0164
0.0834,4.1011,0.0417,combined,0.5448,6.1000,0.0609,0.0530,0.0643
0.0797,1.0621,0.0591,combined,0.3153,6.1000,0.0794,-0.0688,0.0402
0.1058,0.7468,0.0324,combined,1.6188,6.0800,0.0951,0.0180,0.1043
0.0971,1.9725,0.0562,turn,0.0000,6.1200,0.0000,nan,nan
0.0910,0.5787,0.0385,turn,0.0000,6.1200,0.0000,nan,nan
0.0123,0.7737,0.0121,turn,0.0000,6.1400,0.0000,nan,nan
0.0888,1.3748,0.0196,turn,0.0000,6.1400,0.0000,nan,nan
0.0244,0.6385,0.1686,combined,2.1614,6.1600,0.0041,0.0158,0.0186
0.1081,3.9669,0.0648,turn,0.0000,6.2200,0.0000,nan,nan
0.0673,2.6590,0.2471,combined,1.4166,6.2200,0.0667,-0.0421,0.0525
0.1112,2.4624,0.2025,lateral,0.5503,6.2600,0.0375,-0.0242,0.1086
0.0749,1.8239,0.1681,lateral,0.1730,6.3000,0.0592,-0.0539,0.0520
0.0314,2.1563,0.0943,combined,1.4206,6.3400,0.0314,-0.0301,0.0088
0.0354,0.7481,0.0510,combined,0.7385,6.3600,0.0238,0.0230,0.0269
0.1099,0.0905,0.0440,straight,0.8642,6.3800,0.0702,-0.0074,0.1097
0.0856,2.3582,0.0419,lateral,0.3933,6.3800,0.0856,-0.0663,0.0541
0.0859,1.1058,0.1632,straight,0.8589,6.4200,0.0641,-0.0654,0.0557
0.1598,1.0207,0.0932,lateral,0.0215,6.4200,0.0211,0.1311,0.0914
0.1823,7.3129,0.0368,stand,0.0000,6.4400,0.0000,nan,nan
0.1495,0.4028,0.2034,combined,2.4174,6.5200,0.1401,-0.1192,0.0902
0.0900,2.6755,0.2156,turn,0.0000,6.5400,0.0000,nan,nan
0.0554,3.6030,0.2513,turn,0.0000,6.5000,0.0000,nan,nan
0.0274,1.9218,0.0363,stand,0.0000,6.5400,0.0000,nan,nan
0.1380,0.8609,0.1583,combined,1.8695,6.5600,0.1380,-0.1352,0.0275
0.1388,2.6951,0.0584,combined,2.2227,6.5800,0.1244,-0.1176,0.0737
0.0512,0.2573,0.1944,combined,1.9744,6.5600,0.0476,-0.0507,0.0067
0.0663,2.3922,0.1032,lateral,0.6951,6.6000,0.0551,-0.0373,0.0548
0.0833,3.5315,0.2424,combined,1.3435,6.6000,0.0833,-0.0553,0.0622
0.0603,0.8360,0.2055,combined,1.1616,6.6000,0.0177,0.0325,0.0508
0.0877,2.4492,0.2225,straight,0.6590,6.6200,0.0459,0.0234,0.0845
0.0580,0.5958,0.1352,combined,1.4740,6.6400,0.0407,-0.0505,0.0287
0.0444,1.2029,0.1895,lateral,0.0159,6.6600,0.0061,-0.0076,0.0438
0.0706,1.2569,0.2240,straight,0.3055,6.6800,0.0008,0.0458,0.0537
0.1212,3.4644,0.0171,combined,1.5381,6.7000,0.0600,0.0095,0.1208
0.0787,1.3171,0.0545,combined,1.6854,6.6800,0.0182,0.0371,0.0695
0.0955,3.2119,0.1834,lateral,1.3688,6.7400,0.0949,-0.0927,0.0227
0.0821,0.5862,0.0348,lateral,0.8684,6.7400,0.0821,-0.0819,0.0057
0.0425,2.6748,0.0381,turn,0.0000,6.7400,0.0000,nan,nan
0.0345,2.8254,0.1250,lateral,0.2424,6.7400,0.0007,0.0261,0.0226
0.1023,3.0616,0.2664,combined,0.7989,6.7600,0.1009,-0.0628,0.0808
0.0616,2.1407,0.0552,turn,0.0000,6.7800,0.0000,nan,nan
0.0840,0.6548,0.0641,lateral,1.1270,6.8000,0.0109,0.0823,0.0167
0.0574,0.9204,0.0577,combined,1.6345,6.7600,0.0574,-0.0560,0.0124
0.1860,5.7848,0.0072,stand,0.0000,6.8000,0.0000,nan,nan
